,Open,High,Low,Close,Volume
0,82.290,82.306,82.128,82.238,1380
1,82.240,82.331,82.204,82.212,836
2,82.215,82.350,82.199,82.270,659
3,82.267,82.330,82.095,82.112,1155
4,82.110,82.202,82.045,82.145,1371
5,82.148,82.254,82.051,82.058,1430
6,82.056,82.182,82.003,82.084,1512
7,82.082,82.196,81.969,81.976,1543
8,81.974,81.974,81.831,81.841,1393
9,81.844,81.881,81.690,81.830,1942
10,81.833,81.833,81.619,81.648,1681
11,81.650,81.850,81.612,81.807,1946
12,81.804,81.804,81.564,81.610,2722
13,81.607,81.823,81.568,81.670,3167
14,81.673,81.934,81.604,81.932,2550
15,81.929,81.950,81.788,81.842,2047
16,81.838,81.857,81.715,81.795,1507
17,81.798,81.889,81.740,81.837,1329
18,81.834,82.052,81.801,82.050,1633
19,82.048,82.095,82.022,82.086,557
20,81.885,82.056,81.861,81.980,1129
21,81.982,82.046,81.712,81.872,1143
22,81.874,82.071,81.874,81.878,1584
23,81.880,82.004,81.794,81.794,1170
24,81.791,81.842,81.660,81.708,1067
25,81.706,81.820,81.644,81.808,898
26,81.811,81.858,81.739,81.755,747
27,81.758,81.856,81.755,81.841,833
28,81.844,81.872,81.632,81.700,850
29,81.698,81.698,81.517,81.520,2124
30,81.522,81.846,81.490,81.758,2001
31,81.760,81.824,81.672,81.810,1276
32,81.812,81.907,81.785,81.869,1092
33,81.867,81.874,81.780,81.825,978
34,81.827,81.844,81.762,81.766,874
35,81.769,81.857,81.743,81.743,940
36,81.740,81.872,81.694,81.850,2048
37,81.852,82.022,81.731,82.007,2320
38,82.005,82.304,81.982,82.209,1916
39,82.207,82.352,82.162,82.350,1334
40,82.352,82.490,82.331,82.385,1090
41,82.387,82.456,82.348,82.422,909
42,82.420,82.490,82.401,82.452,739
43,82.449,82.480,82.406,82.476,368
44,82.454,82.472,82.409,82.441,348
45,82.439,82.583,82.433,82.504,573
46,82.507,82.809,82.505,82.680,1846
47,82.677,82.872,82.656,82.764,1298
48,82.766,82.882,82.744,82.844,965
49,82.842,82.886,82.734,82.740,938
50,82.742,82.781,82.612,82.614,671
51,82.616,82.625,82.494,82.577,814
52,82.575,82.615,82.502,82.552,858
53,82.549,82.596,82.347,82.410,1469
54,82.408,82.420,82.280,82.296,1264
55,82.298,82.334,82.176,82.176,898
56,82.178,82.322,82.175,82.296,753
57,82.294,83.052,82.285,83.010,2956
58,83.008,83.326,83.003,83.200,1998
59,83.202,83.307,82.950,82.960,1675
60,82.962,83.028,82.721,82.897,2243
61,82.894,83.142,82.804,82.846,2916
62,82.848,82.953,82.740,82.934,2624
63,82.932,83.067,82.806,83.058,1695
64,83.060,83.119,82.954,82.966,1564
65,82.962,83.065,82.951,83.065,948
66,83.062,83.070,82.978,83.034,840
67,83.036,83.087,83.008,83.080,388
68,83.089,83.092,82.417,82.499,3212
69,82.501,82.510,82.020,82.205,2569
70,82.202,82.348,82.062,82.260,3047
71,82.258,82.607,82.249,82.588,2119
72,82.586,82.626,82.373,82.508,1479
73,82.510,82.580,82.388,82.478,1343
74,82.480,82.490,82.392,82.478,724
75,82.480,82.498,82.323,82.426,1024
76,82.423,82.525,82.363,82.415,1441
77,82.418,82.542,82.390,82.542,1647
78,82.540,82.708,82.499,82.534,1551
79,82.536,82.566,82.346,82.426,1181
80,82.423,82.591,82.382,82.512,1112
81,82.510,82.602,82.426,82.516,1086
82,82.514,82.633,82.514,82.609,1046
83,82.612,82.783,82.559,82.665,1795
84,82.662,82.964,82.626,82.853,2234
85,82.850,82.918,82.701,82.770,3508
86,82.772,82.820,82.583,82.584,2019
87,82.587,82.659,82.449,82.649,1683
88,82.647,82.784,82.532,82.769,1260
89,82.772,82.980,82.758,82.904,1340
90,82.901,83.052,82.872,83.010,1205
91,83.008,83.044,82.933,82.988,419
92,83.004,83.018,82.900,82.952,561
93,82.954,83.128,82.904,83.106,589
94,83.104,83.174,83.020,83.029,1605
95,83.026,83.086,82.992,83.054,1128
96,83.052,83.137,83.020,83.030,875
97,83.027,83.122,83.006,83.088,706
98,83.090,83.092,83.012,83.038,583
99,83.036,83.042,82.895,82.940,784
100,82.942,82.985,82.892,82.920,687
101,82.922,82.947,82.799,82.841,1085
102,82.839,82.857,82.732,82.812,1442
103,82.814,82.858,82.688,82.730,1108
104,82.728,82.790,82.714,82.760,682
105,82.763,82.779,82.715,82.764,636
106,82.767,82.919,82.764,82.806,1279
107,82.804,82.882,82.718,82.764,2219
108,82.766,82.990,82.708,82.738,2509
109,82.736,82.794,82.528,82.531,2045
110,82.534,82.676,82.500,82.613,1742
111,82.611,82.658,82.552,82.611,1239
112,82.614,82.636,82.526,82.552,758
113,82.555,82.764,82.512,82.732,1100
114,82.730,82.816,82.628,82.776,1642
115,82.773,82.834,82.658,82.708,578
116,82.690,82.834,82.652,82.752,973
117,82.755,82.934,82.735,82.913,852
118,82.910,83.070,82.810,82.978,1513
119,82.976,83.245,82.972,83.180,1870
120,83.178,83.186,83.022,83.051,1110
121,83.054,83.058,82.930,83.041,842
122,83.038,83.100,82.974,83.096,1135
123,83.094,83.155,83.044,83.129,873
124,83.131,83.236,83.118,83.179,898
125,83.177,83.222,83.084,83.210,1073
126,83.212,83.328,83.196,83.310,1125
127,83.312,83.328,83.244,83.266,793
128,83.270,83.306,83.230,83.304,625
129,83.302,83.345,83.288,83.340,557
130,83.343,83.372,83.270,83.300,671
131,83.302,83.564,83.238,83.476,3845
132,83.474,83.724,83.445,83.724,2362
133,83.728,83.902,83.709,83.807,2164
134,83.810,83.877,83.761,83.781,1497
135,83.784,83.864,83.752,83.767,858
136,83.769,83.830,83.760,83.810,604
137,83.813,83.852,83.760,83.796,606
138,83.798,83.872,83.750,83.822,995
139,83.820,83.836,83.794,83.825,423
140,83.722,83.870,83.722,83.828,396
141,83.825,84.002,83.796,84.000,841
142,84.003,84.106,83.994,84.035,698
143,84.032,84.086,83.990,84.016,1241
144,84.018,84.056,83.806,83.848,1458
145,83.850,83.880,83.774,83.816,972
146,83.819,83.879,83.819,83.865,530
147,83.862,83.888,83.670,83.722,826
148,83.725,83.976,83.694,83.926,1127
149,83.923,84.013,83.916,83.970,766
150,83.967,83.989,83.882,83.910,1048
151,83.908,83.960,83.735,83.811,1030
152,83.814,83.817,83.702,83.702,579
153,83.704,83.836,83.700,83.812,535
154,83.814,83.820,83.724,83.820,606
155,83.818,83.887,83.785,83.843,643
156,83.846,83.922,83.776,83.830,841
157,83.832,83.858,83.756,83.784,1369
158,83.786,83.830,83.702,83.758,1517
159,83.761,83.840,83.756,83.800,813
160,83.798,83.878,83.791,83.863,484
161,83.866,83.890,83.760,83.780,681
162,83.778,83.826,83.735,83.796,514
163,83.799,83.826,83.715,83.774,394
164,83.774,83.808,83.774,83.808,188
165,83.810,83.826,83.726,83.726,403
