,Open,High,Low,Close,Volume
0,81.629,81.658,81.604,81.604,53
1,81.606,81.644,81.606,81.637,42
2,81.634,81.634,81.562,81.562,96
3,81.559,81.570,81.552,81.561,70
4,81.564,81.597,81.564,81.588,49
5,81.586,81.632,81.578,81.618,78
6,81.620,81.620,81.575,81.602,91
7,81.600,81.614,81.592,81.602,68
8,81.600,81.600,81.581,81.600,55
9,81.604,81.608,81.575,81.594,51
10,81.591,81.613,81.578,81.601,67
11,81.604,81.658,81.604,81.655,109
12,81.652,81.654,81.590,81.652,181
13,81.654,81.660,81.632,81.636,86
14,81.634,81.652,81.608,81.622,78
15,81.624,81.648,81.622,81.641,54
16,81.638,81.708,81.638,81.679,85
17,81.677,81.686,81.654,81.656,81
18,81.659,81.680,81.644,81.650,66
19,81.652,81.660,81.632,81.632,59
20,81.629,81.629,81.599,81.603,101
21,81.601,81.635,81.576,81.578,90
22,81.581,81.602,81.570,81.588,117
23,81.590,81.606,81.564,81.581,106
24,81.584,81.620,81.577,81.616,75
25,81.618,81.618,81.582,81.582,49
26,81.584,81.596,81.568,81.592,87
27,81.594,81.621,81.581,81.598,92
28,81.600,81.625,81.569,81.625,75
29,81.622,81.649,81.606,81.646,78
30,81.650,81.710,81.642,81.706,117
31,81.704,81.751,81.700,81.728,111
32,81.725,81.744,81.714,81.744,45
33,81.742,81.766,81.734,81.734,61
34,81.730,81.752,81.726,81.745,57
35,81.748,81.768,81.730,81.733,105
36,81.736,81.772,81.736,81.760,69
37,81.758,81.798,81.750,81.798,87
38,81.800,81.800,81.770,81.776,74
39,81.773,81.773,81.740,81.756,83
40,81.754,81.769,81.717,81.767,74
41,81.769,81.822,81.769,81.788,102
42,81.786,81.838,81.780,81.805,89
43,81.808,81.813,81.778,81.785,98
44,81.782,81.821,81.766,81.809,111
45,81.811,81.840,81.808,81.824,67
46,81.828,81.854,81.828,81.846,120
47,81.844,81.867,81.752,81.865,212
48,81.862,81.882,81.844,81.852,123
49,81.854,81.857,81.805,81.830,111
50,81.832,81.839,81.768,81.791,117
51,81.788,81.793,81.755,81.766,51
52,81.768,81.778,81.736,81.750,103
53,81.748,81.766,81.718,81.753,104
54,81.750,81.816,81.734,81.779,132
55,81.776,81.802,81.762,81.785,127
56,81.787,81.810,81.756,81.805,85
57,81.808,81.827,81.800,81.808,77
58,81.806,81.817,81.760,81.790,100
59,81.792,81.808,81.759,81.762,91
60,81.760,81.786,81.734,81.742,81
61,81.740,81.754,81.719,81.730,46
62,81.733,81.738,81.707,81.709,55
63,81.712,81.760,81.706,81.760,78
64,81.763,81.766,81.729,81.754,77
65,81.752,81.774,81.707,81.716,93
66,81.718,81.738,81.699,81.734,76
67,81.736,81.739,81.710,81.718,70
68,81.716,81.748,81.716,81.748,51
69,81.750,81.830,81.750,81.822,75
70,81.825,81.862,81.796,81.796,106
71,81.800,81.823,81.784,81.784,75
72,81.782,81.802,81.780,81.798,49
73,81.800,81.807,81.782,81.791,59
74,81.788,81.788,81.738,81.780,62
75,81.782,81.794,81.758,81.761,42
76,81.763,81.764,81.737,81.737,70
77,81.734,81.754,81.728,81.744,47
78,81.746,81.746,81.722,81.728,66
79,81.726,81.754,81.724,81.736,59
80,81.739,81.746,81.722,81.740,72
81,81.738,81.774,81.730,81.764,72
82,81.766,81.769,81.748,81.761,63
83,81.758,81.760,81.724,81.754,73
84,81.751,81.751,81.704,81.719,66
85,81.721,81.726,81.709,81.719,46
86,81.721,81.736,81.711,81.734,51
87,81.736,81.762,81.724,81.762,52
88,81.760,81.760,81.728,81.730,25
89,81.733,81.733,81.698,81.720,43
90,81.722,81.743,81.709,81.727,55
91,81.730,81.732,81.720,81.730,33
92,81.728,81.776,81.726,81.770,68
93,81.766,81.786,81.757,81.773,65
94,81.770,81.774,81.745,81.745,67
95,81.743,81.772,81.728,81.755,91
96,81.757,81.800,81.757,81.780,63
97,81.778,81.787,81.751,81.763,52
98,81.761,81.778,81.752,81.773,58
99,81.775,81.816,81.768,81.816,68
100,81.814,81.814,81.776,81.784,47
101,81.786,81.832,81.778,81.830,90
102,81.827,81.832,81.798,81.798,70
103,81.796,81.807,81.782,81.807,48
104,81.804,81.826,81.792,81.826,48
105,81.830,81.845,81.824,81.842,60
106,81.839,81.854,81.818,81.840,66
107,81.838,81.848,81.800,81.821,102
108,81.824,81.838,81.800,81.800,80
109,81.798,81.804,81.768,81.776,60
110,81.778,81.805,81.771,81.778,76
111,81.776,81.784,81.742,81.776,101
112,81.774,81.805,81.764,81.776,90
113,81.772,81.772,81.710,81.746,211
114,81.742,81.754,81.724,81.724,98
115,81.722,81.756,81.722,81.744,84
116,81.746,81.746,81.699,81.712,88
117,81.709,81.739,81.700,81.739,60
118,81.737,81.772,81.720,81.756,99
119,81.754,81.830,81.738,81.745,175
120,81.748,81.754,81.722,81.740,71
121,81.742,81.762,81.698,81.710,101
122,81.708,81.726,81.670,81.694,75
123,81.696,81.702,81.670,81.688,67
124,81.690,81.720,81.690,81.712,81
125,81.710,81.778,81.695,81.756,238
126,81.759,81.786,81.740,81.754,188
127,81.752,81.760,81.698,81.748,193
128,81.746,81.746,81.670,81.680,172
129,81.677,81.702,81.648,81.687,216
