,Open,High,Low,Close,Volume
0,0.75701,0.76392,0.75701,0.76196,10431
1,0.76193,0.76202,0.76072,0.76127,1651
2,0.75956,0.76070,0.75873,0.76056,1981
3,0.76056,0.76074,0.75944,0.75956,717
4,0.75962,0.76088,0.75798,0.75985,1577
5,0.75982,0.76144,0.75974,0.76059,1450
6,0.76055,0.76064,0.75922,0.75930,2320
7,0.75924,0.75994,0.75898,0.75974,850
8,0.75982,0.76458,0.75960,0.76416,1896
9,0.76419,0.76537,0.76341,0.76484,1470
10,0.76480,0.76522,0.76362,0.76431,1163
11,0.76426,0.76476,0.76247,0.76267,1066
12,0.76272,0.76288,0.76002,0.76012,2772
13,0.76012,0.76120,0.75986,0.76076,1023
14,0.76076,0.76343,0.75718,0.75884,2801
15,0.75878,0.75916,0.75748,0.75840,1163
16,0.75836,0.75942,0.75760,0.75936,1437
17,0.75942,0.75977,0.75811,0.75861,1503
18,0.75857,0.75862,0.75584,0.75622,1980
19,0.75616,0.75666,0.75606,0.75636,663
20,0.75614,0.75700,0.75418,0.75480,1897
21,0.75474,0.75554,0.75432,0.75441,855
22,0.75438,0.75472,0.75206,0.75276,1332
23,0.75276,0.75324,0.75146,0.75286,1376
24,0.75286,0.75291,0.75155,0.75244,1762
25,0.75249,0.75272,0.75053,0.75116,1303
26,0.75091,0.75142,0.75014,0.75043,872
27,0.75044,0.75166,0.75041,0.75129,737
28,0.75133,0.75179,0.75062,0.75091,1092
29,0.75094,0.75334,0.75059,0.75289,2867
30,0.75290,0.75309,0.75040,0.75054,2647
31,0.75060,0.75112,0.75018,0.75097,550
32,0.75104,0.75184,0.75031,0.75160,1426
33,0.75160,0.75296,0.75136,0.75259,919
34,0.75256,0.75364,0.75212,0.75321,1204
35,0.75320,0.75340,0.75197,0.75234,1122
36,0.75229,0.75454,0.75214,0.75349,1556
37,0.75348,0.75350,0.75254,0.75264,595
38,0.75264,0.75333,0.75192,0.75260,1084
39,0.75253,0.75368,0.75242,0.75348,744
40,0.75354,0.75688,0.75354,0.75673,1445
41,0.75676,0.75804,0.75604,0.75702,1254
42,0.75698,0.75698,0.75460,0.75498,1729
43,0.75494,0.75619,0.75458,0.75603,859
44,0.75603,0.75705,0.75527,0.75662,961
45,0.75666,0.75808,0.75666,0.75738,700
46,0.75742,0.75796,0.75538,0.75550,809
47,0.75556,0.76052,0.75549,0.75996,2094
48,0.75996,0.76157,0.75979,0.76068,1909
49,0.76074,0.76394,0.76054,0.76372,6034
50,0.76353,0.76716,0.76272,0.76688,3058
51,0.76680,0.76748,0.76609,0.76658,1039
52,0.76658,0.76709,0.76542,0.76589,1447
53,0.76596,0.76734,0.76543,0.76582,2524
54,0.76578,0.76748,0.76505,0.76734,2544
55,0.76730,0.76798,0.76649,0.76658,1558
56,0.76658,0.76723,0.76548,0.76701,1581
57,0.76708,0.76754,0.76642,0.76724,776
58,0.76721,0.76945,0.76721,0.76784,1327
59,0.76788,0.76806,0.76630,0.76692,1814
60,0.76698,0.76721,0.76418,0.76489,2847
61,0.76488,0.76516,0.76380,0.76448,1097
62,0.76440,0.76518,0.76406,0.76507,1466
63,0.76509,0.76614,0.76492,0.76603,819
64,0.76608,0.76712,0.76588,0.76593,1424
65,0.76589,0.76678,0.76538,0.76652,908
66,0.76658,0.76779,0.76638,0.76744,1522
67,0.76750,0.76758,0.76624,0.76646,923
68,0.76595,0.76693,0.76558,0.76604,1485
69,0.76610,0.76711,0.76571,0.76682,671
70,0.76682,0.76841,0.76667,0.76752,952
71,0.76748,0.76826,0.76628,0.76642,1184
72,0.76648,0.76676,0.76460,0.76546,2040
73,0.76548,0.76660,0.76534,0.76633,883
74,0.76616,0.76650,0.76512,0.76639,1483
75,0.76636,0.76651,0.76556,0.76608,675
76,0.76611,0.76756,0.76574,0.76726,1006
77,0.76722,0.76796,0.76678,0.76689,1041
78,0.76684,0.76756,0.76602,0.76743,1913
79,0.76747,0.76762,0.76602,0.76672,1310
80,0.76647,0.76744,0.76545,0.76577,1717
81,0.76574,0.76686,0.76554,0.76600,704
82,0.76604,0.76658,0.76534,0.76566,982
83,0.76572,0.76931,0.76572,0.76844,1266
84,0.76844,0.77065,0.76784,0.77033,1418
85,0.77036,0.77072,0.76988,0.77024,800
86,0.77048,0.77153,0.77004,0.77124,1447
87,0.77123,0.77185,0.77108,0.77169,635
88,0.77176,0.77184,0.77046,0.77124,1121
89,0.77124,0.77210,0.77075,0.77158,1137
90,0.77162,0.77208,0.77094,0.77148,1672
91,0.77144,0.77180,0.77110,0.77122,800
92,0.77180,0.77254,0.77141,0.77158,970
93,0.77158,0.77224,0.77136,0.77218,268
94,0.77212,0.77222,0.77173,0.77185,125
95,0.77180,0.77190,0.77127,0.77165,310
96,0.77170,0.77281,0.77165,0.77260,692
97,0.77260,0.77294,0.77246,0.77286,334
98,0.77266,0.77352,0.77237,0.77308,1104
99,0.77310,0.77468,0.77310,0.77448,548
100,0.77454,0.77690,0.77436,0.77644,939
101,0.77646,0.77756,0.77626,0.77698,1257
102,0.77699,0.77791,0.77628,0.77775,1211
103,0.77776,0.77790,0.77688,0.77688,571
104,0.77663,0.77834,0.77655,0.77818,1165
105,0.77823,0.77974,0.77796,0.77966,644
106,0.77972,0.78095,0.77898,0.77924,677
107,0.77923,0.77936,0.77788,0.77913,969
108,0.77916,0.77976,0.77853,0.77900,1023
109,0.77896,0.77988,0.77880,0.77961,686
110,0.77984,0.78040,0.77920,0.77938,1698
111,0.77945,0.78032,0.77900,0.78029,715
112,0.78028,0.78142,0.77886,0.78136,1146
113,0.78136,0.78251,0.78082,0.78093,833
114,0.78090,0.78248,0.78062,0.78121,1545
115,0.78117,0.78132,0.77995,0.78069,864
116,0.78067,0.78272,0.77937,0.78190,3975
117,0.78184,0.78426,0.78184,0.78395,1227
118,0.78400,0.78446,0.78308,0.78354,1190
119,0.78354,0.78423,0.78156,0.78194,1317
120,0.78199,0.78334,0.78179,0.78240,1704
121,0.78240,0.78344,0.78232,0.78296,534
122,0.78296,0.78369,0.78186,0.78218,1649
123,0.78224,0.78236,0.78054,0.78222,1335
