,Open,High,Low,Close,Volume
0,0.77197,0.77238,0.77197,0.77220,246
1,0.77224,0.77338,0.77214,0.77321,201
2,0.77328,0.77328,0.77226,0.77227,216
3,0.77228,0.77259,0.77200,0.77202,233
4,0.77196,0.77251,0.77195,0.77238,202
5,0.77238,0.77336,0.77230,0.77318,148
6,0.77323,0.77338,0.77305,0.77327,138
7,0.77327,0.77373,0.77316,0.77316,157
8,0.77316,0.77325,0.77220,0.77226,153
9,0.77226,0.77276,0.77220,0.77261,208
10,0.77255,0.77284,0.77242,0.77244,94
11,0.77244,0.77248,0.77116,0.77134,376
12,0.77138,0.77158,0.77094,0.77132,387
13,0.77132,0.77192,0.77090,0.77123,595
14,0.77124,0.77124,0.77064,0.77070,438
15,0.77067,0.77070,0.77018,0.77021,432
16,0.77024,0.77051,0.77018,0.77030,192
17,0.77030,0.77030,0.77016,0.77016,56
18,0.77016,0.77016,0.76980,0.76985,52
19,0.76986,0.77002,0.76962,0.76973,350
20,0.77033,0.77043,0.76979,0.76996,50
21,0.76996,0.77004,0.76946,0.76974,95
22,0.76977,0.77031,0.76977,0.77006,53
23,0.77007,0.77034,0.77007,0.77017,67
24,0.77021,0.77081,0.77012,0.77078,197
25,0.77078,0.77098,0.77051,0.77052,85
26,0.77051,0.77084,0.77051,0.77064,92
27,0.77064,0.77102,0.77064,0.77068,68
28,0.77068,0.77102,0.77062,0.77096,76
29,0.77097,0.77130,0.77077,0.77130,91
30,0.77137,0.77146,0.77100,0.77106,55
31,0.77107,0.77107,0.77057,0.77096,98
32,0.77090,0.77172,0.77084,0.77166,115
33,0.77160,0.77209,0.77160,0.77164,151
34,0.77160,0.77218,0.77138,0.77212,80
35,0.77206,0.77246,0.77196,0.77230,171
36,0.77236,0.77262,0.77208,0.77216,138
37,0.77214,0.77268,0.77206,0.77206,142
38,0.77202,0.77258,0.77198,0.77237,118
39,0.77234,0.77302,0.77210,0.77290,72
40,0.77296,0.77306,0.77246,0.77258,97
41,0.77250,0.77253,0.77227,0.77234,86
42,0.77238,0.77250,0.77226,0.77243,91
43,0.77244,0.77265,0.77228,0.77258,66
44,0.77262,0.77285,0.77254,0.77270,60
45,0.77270,0.77276,0.77245,0.77264,52
46,0.77262,0.77292,0.77260,0.77278,57
47,0.77273,0.77290,0.77270,0.77284,41
48,0.77277,0.77300,0.77260,0.77294,43
49,0.77294,0.77294,0.77248,0.77248,72
50,0.77254,0.77266,0.77226,0.77226,64
51,0.77228,0.77240,0.77214,0.77216,43
52,0.77220,0.77220,0.77176,0.77184,49
53,0.77189,0.77244,0.77166,0.77236,70
54,0.77230,0.77240,0.77218,0.77218,94
55,0.77222,0.77234,0.77198,0.77198,100
56,0.77199,0.77277,0.77199,0.77246,162
57,0.77252,0.77291,0.77238,0.77286,101
58,0.77286,0.77314,0.77256,0.77314,106
59,0.77320,0.77402,0.77312,0.77360,131
60,0.77355,0.77418,0.77342,0.77414,142
61,0.77411,0.77452,0.77398,0.77398,110
62,0.77394,0.77412,0.77371,0.77374,119
63,0.77371,0.77371,0.77314,0.77336,112
