,Open,High,Low,Close,Volume
0,130.124,130.206,130.012,130.146,1271
1,130.148,130.248,130.134,130.200,695
2,130.204,130.368,130.200,130.248,648
3,130.251,130.318,129.878,129.908,1123
4,129.905,129.956,129.691,129.866,1655
5,129.869,129.944,129.671,129.671,1942
6,129.674,129.823,129.568,129.704,1826
7,129.700,129.925,129.571,129.831,1805
8,129.828,129.922,129.710,129.714,1486
9,129.718,129.828,129.662,129.721,2419
10,129.718,129.878,129.650,129.702,1816
11,129.705,129.846,129.626,129.758,1915
12,129.755,129.848,129.644,129.737,2276
13,129.734,130.009,129.704,129.828,2709
14,129.825,130.144,129.746,130.130,2145
15,130.127,130.127,129.948,129.998,1594
16,129.994,130.044,129.840,129.985,1138
17,129.988,130.212,129.986,130.144,1002
18,130.148,130.380,130.089,130.370,1172
19,130.366,130.372,130.234,130.249,500
20,130.116,130.518,130.040,130.390,1356
21,130.394,130.436,129.774,130.032,2158
22,130.035,130.320,130.013,130.064,1410
23,130.067,130.216,130.005,130.056,940
24,130.052,130.090,129.932,129.948,849
25,129.950,130.126,129.881,130.110,739
26,130.114,130.146,129.972,129.986,727
27,129.990,130.098,129.972,130.049,713
28,130.052,130.113,129.640,129.726,1265
29,129.722,129.722,129.353,129.470,2967
30,129.473,130.188,129.431,130.076,2876
31,130.072,130.158,129.932,130.098,1697
32,130.094,130.270,129.960,130.042,1678
33,130.038,130.052,129.830,129.988,1342
34,129.992,129.992,129.832,129.878,1378
35,129.874,130.099,129.836,130.057,1207
36,130.054,130.398,130.023,130.380,1869
37,130.386,130.506,130.184,130.470,2447
38,130.474,130.770,130.385,130.654,1920
39,130.651,130.951,130.618,130.948,1273
40,130.952,130.998,130.830,130.854,654
41,130.856,130.975,130.824,130.902,630
42,130.898,131.002,130.866,130.982,611
43,130.978,131.014,130.932,131.004,213
44,131.004,131.018,130.953,131.010,170
45,131.006,131.121,130.990,131.088,547
46,131.092,131.406,131.092,131.298,1173
47,131.294,131.503,131.272,131.386,1195
48,131.388,131.547,131.361,131.424,872
49,131.420,131.472,131.334,131.353,548
50,131.357,131.361,131.232,131.232,529
51,131.235,131.242,131.066,131.180,646
52,131.176,131.196,131.046,131.089,1018
53,131.092,131.202,130.801,130.920,1683
54,130.916,130.936,130.782,130.842,1546
55,130.845,130.893,130.680,130.681,1126
56,130.678,130.885,130.601,130.818,932
57,130.814,131.916,130.803,131.849,3403
58,131.852,132.016,131.753,131.868,1696
59,131.871,131.890,131.566,131.574,1456
60,131.576,131.682,131.250,131.454,2155
61,131.450,131.678,131.368,131.452,2377
62,131.455,131.662,131.412,131.647,2221
63,131.644,131.674,131.484,131.641,1368
