,Open,High,Low,Close,Volume
0,131.380,131.403,131.366,131.403,60
1,131.406,131.420,131.394,131.394,21
2,131.390,131.421,131.374,131.374,44
3,131.378,131.430,131.378,131.418,39
4,131.415,131.415,131.324,131.324,58
5,131.326,131.362,131.316,131.346,53
6,131.350,131.378,131.350,131.362,30
7,131.358,131.406,131.355,131.382,61
8,131.386,131.396,131.348,131.378,78
9,131.374,131.394,131.363,131.387,49
10,131.383,131.383,131.354,131.376,41
11,131.380,131.386,131.347,131.357,39
12,131.360,131.382,131.346,131.374,47
13,131.378,131.378,131.337,131.337,59
14,131.340,131.352,131.275,131.321,137
15,131.318,131.336,131.306,131.318,63
16,131.322,131.348,131.303,131.303,67
17,131.307,131.325,131.293,131.322,48
18,131.325,131.367,131.325,131.357,58
19,131.360,131.374,131.327,131.328,79
20,131.332,131.360,131.316,131.330,58
21,131.333,131.352,131.308,131.308,64
22,131.306,131.322,131.273,131.289,98
23,131.286,131.334,131.261,131.271,77
24,131.274,131.281,131.240,131.262,100
25,131.258,131.266,131.217,131.232,88
26,131.229,131.256,131.225,131.256,45
27,131.258,131.258,131.208,131.212,49
28,131.208,131.228,131.166,131.198,91
29,131.202,131.234,131.184,131.196,72
30,131.192,131.220,131.144,131.220,69
31,131.218,131.254,131.200,131.250,57
32,131.254,131.324,131.244,131.320,94
33,131.318,131.350,131.314,131.320,94
34,131.316,131.322,131.294,131.316,33
35,131.318,131.346,131.299,131.306,52
36,131.309,131.334,131.309,131.325,33
37,131.321,131.370,131.300,131.354,103
38,131.358,131.386,131.352,131.368,63
39,131.364,131.391,131.342,131.352,92
40,131.355,131.390,131.345,131.354,75
41,131.350,131.350,131.312,131.331,102
42,131.328,131.328,131.266,131.316,101
43,131.312,131.356,131.312,131.356,99
44,131.352,131.386,131.316,131.354,101
45,131.358,131.370,131.312,131.325,121
46,131.321,131.356,131.318,131.338,88
47,131.342,131.361,131.322,131.326,78
48,131.330,131.348,131.253,131.296,164
49,131.291,131.318,131.180,131.308,210
50,131.304,131.304,131.246,131.276,139
51,131.272,131.275,131.174,131.224,128
52,131.227,131.230,131.124,131.148,144
53,131.145,131.158,131.128,131.148,62
54,131.152,131.182,131.136,131.158,87
55,131.162,131.184,131.138,131.157,102
56,131.153,131.166,131.114,131.138,122
57,131.140,131.140,131.061,131.092,179
58,131.096,131.154,131.072,131.146,120
59,131.150,131.192,131.131,131.171,63
60,131.174,131.192,131.134,131.158,144
61,131.161,131.206,131.122,131.144,119
62,131.140,131.170,131.114,131.129,69
63,131.126,131.134,131.112,131.128,48
64,131.130,131.138,131.106,131.109,55
65,131.106,131.128,131.084,131.128,82
66,131.132,131.184,131.132,131.184,65
67,131.182,131.222,131.134,131.134,82
68,131.131,131.212,131.128,131.208,102
69,131.204,131.237,131.181,131.228,93
70,131.224,131.238,131.216,131.230,62
71,131.227,131.281,131.216,131.256,90
72,131.259,131.302,131.236,131.246,92
73,131.242,131.256,131.218,131.222,97
74,131.218,131.244,131.207,131.214,73
75,131.218,131.244,131.172,131.178,90
76,131.182,131.196,131.138,131.192,89
77,131.196,131.229,131.191,131.194,68
78,131.190,131.202,131.174,131.178,89
79,131.181,131.184,131.150,131.160,37
80,131.157,131.196,131.140,131.185,58
81,131.181,131.218,131.174,131.194,71
82,131.198,131.274,131.194,131.264,79
83,131.261,131.300,131.252,131.291,69
84,131.288,131.312,131.260,131.300,89
85,131.296,131.296,131.226,131.254,106
86,131.252,131.252,131.203,131.236,75
87,131.232,131.236,131.202,131.202,50
88,131.206,131.212,131.129,131.174,80
89,131.176,131.246,131.164,131.242,82
90,131.239,131.246,131.203,131.210,41
91,131.213,131.213,131.174,131.190,47
92,131.187,131.224,131.172,131.199,68
93,131.196,131.200,131.179,131.194,36
94,131.190,131.242,131.190,131.242,82
95,131.238,131.290,131.238,131.288,91
96,131.284,131.348,131.272,131.302,134
97,131.305,131.312,131.258,131.275,119
98,131.271,131.292,131.248,131.257,83
99,131.254,131.260,131.223,131.230,55
100,131.234,131.290,131.224,131.283,72
101,131.280,131.336,131.264,131.325,91
102,131.329,131.336,131.282,131.300,59
103,131.296,131.348,131.272,131.298,129
104,131.295,131.295,131.238,131.238,55
105,131.234,131.266,131.220,131.238,80
106,131.242,131.262,131.232,131.244,57
107,131.240,131.280,131.236,131.256,74
108,131.253,131.256,131.167,131.189,111
109,131.186,131.200,131.118,131.147,150
110,131.150,131.196,131.138,131.189,106
111,131.186,131.210,131.146,131.150,97
112,131.147,131.159,131.102,131.102,87
113,131.104,131.124,131.096,131.112,99
114,131.109,131.154,131.102,131.120,71
115,131.115,131.128,131.054,131.080,212
116,131.076,131.120,131.066,131.102,105
117,131.098,131.154,131.094,131.126,97
118,131.122,131.132,131.080,131.109,95
119,131.106,131.144,131.102,131.144,62
120,131.140,131.226,131.110,131.224,114
121,131.220,131.342,131.204,131.274,216
122,131.278,131.282,131.220,131.230,94
