,Open,High,Low,Close,Volume
0,1.18697,1.19349,1.18508,1.19066,45338
1,1.19066,1.19107,1.18852,1.18974,9538
2,1.18650,1.18761,1.18560,1.18750,5254
3,1.18744,1.18758,1.18674,1.18676,2424
4,1.18676,1.18790,1.18362,1.18545,9151
5,1.18540,1.18678,1.18430,1.18456,8876
6,1.18451,1.18600,1.18293,1.18436,14380
7,1.18437,1.18688,1.18433,1.18653,4148
8,1.18642,1.18748,1.18618,1.18733,3744
9,1.18733,1.18768,1.18668,1.18671,2272
10,1.18671,1.18768,1.18421,1.18528,7119
11,1.18527,1.18740,1.18279,1.18350,6757
12,1.18350,1.18429,1.18048,1.18058,17211
13,1.18054,1.18296,1.18006,1.18262,5215
14,1.18258,1.18312,1.18166,1.18265,3624
15,1.18268,1.18486,1.18258,1.18440,4039
16,1.18440,1.18442,1.18124,1.18234,7389
17,1.18234,1.18334,1.18000,1.18076,8539
18,1.18080,1.18082,1.17804,1.17933,11090
19,1.17934,1.18006,1.17889,1.17960,4625
20,1.17946,1.18088,1.17926,1.17985,3372
21,1.17981,1.18069,1.17895,1.17919,2164
22,1.17922,1.18049,1.17866,1.17892,4845
23,1.17892,1.18010,1.17761,1.17998,6197
24,1.17996,1.18002,1.17862,1.17971,9198
25,1.17974,1.18148,1.17719,1.17726,7576
26,1.17741,1.17770,1.17614,1.17636,2359
27,1.17636,1.17696,1.17606,1.17649,2194
28,1.17648,1.17678,1.17324,1.17370,8242
29,1.17370,1.17692,1.17300,1.17629,11952
30,1.17634,1.17716,1.17466,1.17560,14396
31,1.17566,1.17746,1.17556,1.17721,3481
32,1.17642,1.17780,1.17637,1.17770,3679
33,1.17768,1.17844,1.17753,1.17802,2005
34,1.17802,1.18010,1.17754,1.17974,5148
35,1.17974,1.18032,1.17767,1.17780,4965
36,1.17776,1.18118,1.17774,1.17916,8372
37,1.17921,1.17943,1.17639,1.17693,3174
38,1.17725,1.17798,1.17687,1.17694,2877
39,1.17690,1.17755,1.17646,1.17731,1286
40,1.17731,1.17926,1.17700,1.17828,5558
41,1.17830,1.17862,1.17500,1.17505,5932
42,1.17503,1.17520,1.17177,1.17234,8837
43,1.17234,1.17490,1.17208,1.17430,4426
44,1.17415,1.17482,1.17352,1.17431,1907
45,1.17428,1.17622,1.17425,1.17544,1606
46,1.17545,1.17628,1.17375,1.17490,3327
47,1.17490,1.17712,1.17295,1.17576,8933
48,1.17579,1.17708,1.17475,1.17628,8905
49,1.17628,1.18320,1.17628,1.18261,23883
50,1.18244,1.18440,1.18217,1.18424,5254
51,1.18421,1.18422,1.18258,1.18268,2332
52,1.18268,1.18376,1.18112,1.18192,7709
53,1.18191,1.18628,1.18123,1.18206,17301
54,1.18207,1.18271,1.17710,1.17877,16658
55,1.17873,1.18015,1.17748,1.17771,6379
56,1.17782,1.17906,1.17644,1.17848,5150
57,1.17852,1.17913,1.17782,1.17835,2751
58,1.17835,1.17990,1.17792,1.17971,5900
59,1.17966,1.18124,1.17910,1.17995,7741
60,1.17996,1.18004,1.17606,1.17649,13032
61,1.17652,1.17655,1.17488,1.17503,5923
62,1.17459,1.17572,1.17382,1.17566,5848
63,1.17566,1.17656,1.17557,1.17606,1903
64,1.17606,1.17952,1.17606,1.17886,7745
65,1.17884,1.17990,1.17841,1.17937,5247
66,1.17936,1.18344,1.17879,1.17904,8524
67,1.17906,1.17979,1.17753,1.17810,3904
68,1.17819,1.17876,1.17766,1.17824,2759
69,1.17820,1.17960,1.17802,1.17928,1774
70,1.17928,1.18184,1.17902,1.18065,7762
71,1.18060,1.18318,1.17998,1.18268,7667
72,1.18270,1.18304,1.18048,1.18290,11417
73,1.18294,1.18490,1.18282,1.18398,5747
74,1.18403,1.18465,1.18353,1.18419,2415
75,1.18422,1.18472,1.18410,1.18457,1442
76,1.18458,1.18542,1.18291,1.18378,6948
77,1.18382,1.18580,1.18322,1.18438,7567
78,1.18438,1.19016,1.18436,1.18770,12355
79,1.18774,1.18892,1.18688,1.18712,4291
80,1.18683,1.18822,1.18683,1.18708,3371
81,1.18704,1.18760,1.18630,1.18682,1802
82,1.18682,1.18868,1.18634,1.18808,6366
83,1.18807,1.18898,1.18510,1.18588,7336
84,1.18582,1.18792,1.18492,1.18677,8363
85,1.18680,1.18792,1.18614,1.18739,3259
86,1.18756,1.18760,1.18170,1.18446,7313
87,1.18442,1.18520,1.18426,1.18498,2273
88,1.18498,1.18622,1.18445,1.18492,6665
89,1.18488,1.18574,1.18454,1.18548,6557
90,1.18546,1.18568,1.18286,1.18530,8750
91,1.18534,1.18644,1.18440,1.18617,4267
