,Open,High,Low,Close,Volume
0,1.23586,1.23648,1.23494,1.23520,1203
1,1.23525,1.23576,1.23521,1.23540,713
2,1.23539,1.23578,1.23504,1.23577,528
3,1.23576,1.23673,1.23574,1.23625,581
4,1.23626,1.23668,1.23556,1.23588,606
5,1.23586,1.23685,1.23579,1.23647,525
6,1.23642,1.23680,1.23610,1.23668,765
7,1.23665,1.23682,1.23616,1.23620,447
8,1.23615,1.23642,1.23554,1.23600,677
9,1.23600,1.23677,1.23600,1.23667,646
10,1.23669,1.23698,1.23664,1.23668,252
11,1.23672,1.23738,1.23662,1.23675,796
12,1.23670,1.23677,1.23602,1.23632,924
13,1.23632,1.23642,1.23604,1.23638,726
14,1.23643,1.23693,1.23634,1.23658,743
15,1.23654,1.23708,1.23644,1.23650,892
16,1.23652,1.23667,1.23505,1.23572,889
17,1.23574,1.23598,1.23551,1.23590,172
18,1.23595,1.23595,1.23564,1.23591,230
19,1.23586,1.23594,1.23516,1.23524,830
20,1.23500,1.23556,1.23500,1.23549,38
21,1.23549,1.23552,1.23549,1.23552,3
22,1.23548,1.23558,1.23548,1.23553,4
23,1.23562,1.23612,1.23542,1.23583,197
24,1.23591,1.23636,1.23570,1.23625,214
25,1.23628,1.23679,1.23628,1.23655,74
26,1.23656,1.23672,1.23631,1.23665,78
27,1.23660,1.23674,1.23648,1.23670,37
28,1.23664,1.23671,1.23638,1.23646,104
29,1.23641,1.23660,1.23630,1.23641,224
30,1.23642,1.23643,1.23598,1.23598,115
31,1.23602,1.23611,1.23531,1.23546,383
32,1.23543,1.23616,1.23518,1.23612,275
33,1.23608,1.23650,1.23594,1.23601,390
34,1.23596,1.23646,1.23594,1.23644,430
35,1.23641,1.23833,1.23625,1.23694,958
36,1.23692,1.23704,1.23652,1.23666,410
37,1.23672,1.23692,1.23650,1.23656,293
38,1.23650,1.23716,1.23640,1.23708,291
39,1.23709,1.23716,1.23682,1.23702,267
40,1.23707,1.23720,1.23670,1.23684,212
41,1.23685,1.23711,1.23673,1.23696,212
42,1.23696,1.23698,1.23677,1.23692,142
43,1.23692,1.23764,1.23689,1.23754,193
44,1.23760,1.23812,1.23748,1.23797,290
45,1.23792,1.23798,1.23733,1.23738,234
46,1.23732,1.23774,1.23725,1.23739,163
47,1.23734,1.23752,1.23723,1.23734,170
48,1.23732,1.23750,1.23726,1.23742,77
49,1.23737,1.23750,1.23716,1.23744,182
50,1.23742,1.23764,1.23734,1.23746,167
51,1.23740,1.23752,1.23722,1.23733,138
52,1.23736,1.23736,1.23688,1.23698,125
53,1.23698,1.23729,1.23682,1.23715,245
54,1.23712,1.23715,1.23678,1.23700,292
55,1.23700,1.23712,1.23644,1.23665,249
56,1.23661,1.23666,1.23617,1.23648,563
57,1.23643,1.23705,1.23627,1.23648,483
58,1.23654,1.23678,1.23620,1.23666,474
59,1.23667,1.23684,1.23618,1.23620,578
60,1.23618,1.23800,1.23590,1.23784,912
61,1.23782,1.23941,1.23769,1.23875,1293
62,1.23871,1.23881,1.23833,1.23842,559
