,Open,High,Low,Close,Volume
0,146.172,146.201,145.988,146.135,2387
1,146.133,146.201,146.072,146.159,1452
2,146.161,146.362,146.148,146.207,1466
3,146.210,146.288,145.866,145.898,2291
4,145.895,145.962,145.644,145.924,2924
5,145.922,146.020,145.544,145.598,3585
6,145.595,145.731,145.422,145.630,3830
7,145.628,145.916,145.506,145.668,3612
8,145.666,145.666,145.424,145.544,3481
9,145.548,145.637,145.188,145.372,5053
10,145.370,145.523,145.220,145.291,4234
11,145.288,145.516,144.994,145.377,5283
12,145.374,145.408,145.008,145.099,5751
13,145.097,145.444,145.074,145.224,6593
14,145.226,145.516,145.147,145.497,5496
15,145.495,145.495,145.292,145.409,4053
16,145.407,145.420,145.102,145.348,2828
17,145.350,145.600,145.350,145.548,2452
18,145.551,145.812,145.487,145.796,2655
19,145.799,145.963,145.764,145.950,1823
20,145.554,145.882,145.527,145.800,2401
21,145.804,145.910,145.382,145.624,3008
22,145.627,145.858,145.544,145.558,3031
23,145.560,145.707,145.476,145.534,2029
24,145.532,145.554,145.388,145.416,1738
25,145.414,145.606,145.338,145.592,1566
26,145.590,145.648,145.469,145.516,1472
27,145.518,145.682,145.506,145.588,1393
28,145.590,145.638,145.417,145.480,1869
29,145.482,145.482,145.106,145.120,4517
30,145.122,145.862,145.084,145.715,4881
31,145.712,145.942,145.446,145.873,3326
32,145.876,146.144,145.784,145.974,3036
33,145.976,146.026,145.768,145.994,2718
34,145.996,146.014,145.842,145.862,2306
35,145.864,145.987,145.806,145.856,2470
36,145.854,146.276,145.832,146.183,3909
37,146.185,146.700,145.982,146.559,6835
38,146.557,146.990,146.469,146.824,5079
39,146.822,147.030,146.736,147.000,2976
40,147.002,147.126,146.808,146.870,2344
41,146.872,147.002,146.836,146.892,2052
42,146.890,147.040,146.887,146.996,1771
43,146.993,147.085,146.954,147.077,627
44,147.077,147.083,146.992,147.046,488
45,147.049,147.206,147.030,147.153,1147
46,147.156,147.422,147.156,147.293,2159
47,147.295,147.465,147.256,147.315,2226
48,147.312,147.468,147.286,147.322,1739
49,147.320,147.396,147.248,147.256,1177
50,147.258,147.260,147.092,147.092,1129
51,147.094,147.124,146.950,147.080,1393
52,147.077,147.086,146.898,146.940,1448
53,146.942,147.040,146.625,146.754,3837
54,146.752,146.782,146.558,146.609,3669
55,146.612,146.814,146.586,146.616,2912
56,146.613,146.894,146.558,146.786,2098
57,146.784,147.862,146.770,147.806,5899
58,147.808,148.014,147.782,147.867,3271
59,147.870,147.932,147.462,147.468,3760
60,147.470,147.643,147.159,147.387,5141
61,147.390,147.572,147.123,147.198,5368
62,147.196,147.302,147.008,147.240,4466
63,147.238,147.471,147.104,147.420,3228
64,147.422,147.560,147.373,147.409,2706
65,147.407,147.546,147.394,147.528,1628
66,147.526,147.538,147.420,147.514,1650
67,147.511,147.528,147.362,147.377,540
68,147.433,147.498,146.660,146.868,3018
69,146.872,146.878,146.542,146.751,3376
70,146.753,146.942,146.664,146.798,4677
71,146.796,147.110,146.794,147.021,3101
72,147.024,147.072,146.739,146.804,2272
73,146.806,146.927,146.754,146.830,1691
74,146.832,146.862,146.768,146.840,1127
75,146.837,146.852,146.539,146.673,1867
76,146.675,146.892,146.644,146.760,2731
77,146.762,146.889,146.606,146.678,3764
78,146.680,146.842,146.590,146.699,3230
79,146.696,146.742,146.236,146.436,3411
80,146.434,146.700,146.358,146.472,3472
81,146.470,146.516,146.296,146.450,2441
82,146.448,146.762,146.443,146.678,2781
83,146.680,146.918,146.668,146.913,4004
84,146.916,147.281,146.787,147.044,4438
85,147.042,147.281,146.836,147.271,6540
86,147.268,147.519,147.106,147.115,4127
