,Open,High,Low,Close,Volume
0,150.014,150.048,150.006,150.037,109
1,150.040,150.083,150.040,150.060,64
2,150.062,150.110,150.046,150.094,151
3,150.096,150.100,150.038,150.072,120
4,150.074,150.098,150.058,150.087,108
5,150.085,150.085,150.056,150.081,92
6,150.084,150.096,150.032,150.055,96
7,150.057,150.079,150.032,150.069,118
8,150.071,150.096,150.036,150.043,137
9,150.045,150.052,149.955,150.016,256
10,150.019,150.028,149.993,150.006,152
11,150.004,150.031,149.978,149.978,149
12,149.980,150.033,149.972,150.031,111
13,150.028,150.086,150.026,150.066,123
14,150.069,150.086,150.010,150.014,184
15,150.016,150.048,149.997,150.002,159
16,150.004,150.032,149.974,149.974,152
17,149.971,149.990,149.919,149.932,202
18,149.930,149.973,149.878,149.880,165
19,149.882,149.920,149.866,149.906,224
20,149.903,149.963,149.864,149.916,210
21,149.914,149.937,149.904,149.937,102
22,149.934,149.938,149.890,149.894,98
23,149.892,149.915,149.858,149.894,192
24,149.896,149.933,149.864,149.892,175
25,149.890,149.902,149.816,149.902,159
26,149.900,149.949,149.876,149.944,140
27,149.947,150.061,149.934,150.051,214
28,150.049,150.100,150.049,150.068,196
29,150.065,150.069,150.034,150.065,101
30,150.067,150.078,149.998,150.000,105
31,150.002,150.033,150.000,150.028,72
32,150.031,150.107,150.010,150.074,183
33,150.076,150.113,150.076,150.094,123
34,150.096,150.134,150.078,150.096,193
35,150.098,150.122,150.086,150.098,140
36,150.096,150.102,150.063,150.072,161
37,150.070,150.070,149.980,150.020,186
38,150.022,150.054,149.902,149.904,323
39,149.902,150.006,149.866,149.961,368
40,149.963,149.978,149.909,149.912,274
41,149.908,149.982,149.871,149.938,302
42,149.936,149.936,149.857,149.892,238
43,149.894,149.918,149.856,149.880,246
44,149.878,149.946,149.666,149.924,650
45,149.922,149.956,149.876,149.889,351
46,149.887,149.925,149.820,149.859,283
47,149.861,149.870,149.734,149.774,362
48,149.772,149.820,149.760,149.818,182
49,149.820,149.884,149.806,149.862,356
50,149.860,149.894,149.835,149.870,293
51,149.868,149.868,149.790,149.818,314
52,149.816,149.826,149.660,149.746,436
53,149.748,149.827,149.709,149.788,352
54,149.790,149.828,149.750,149.752,214
55,149.755,149.769,149.665,149.705,349
56,149.703,149.732,149.676,149.716,273
57,149.714,149.759,149.685,149.708,188
58,149.706,149.732,149.693,149.720,128
59,149.723,149.737,149.644,149.648,194
60,149.651,149.692,149.575,149.692,343
61,149.690,149.812,149.681,149.783,222
62,149.778,149.850,149.668,149.682,273
63,149.680,149.768,149.540,149.754,448
64,149.756,149.780,149.702,149.772,265
65,149.774,149.788,149.690,149.712,187
66,149.714,149.752,149.690,149.734,237
67,149.737,149.814,149.687,149.723,299
68,149.721,149.828,149.702,149.771,310
69,149.769,149.822,149.756,149.822,209
70,149.824,149.874,149.811,149.811,219
71,149.813,149.850,149.726,149.848,199
72,149.852,149.890,149.801,149.815,137
73,149.813,149.866,149.770,149.859,303
74,149.861,149.865,149.836,149.855,158
75,149.853,149.894,149.833,149.887,187
76,149.889,149.956,149.871,149.909,280
77,149.911,150.014,149.909,149.996,279
78,149.994,150.057,149.982,150.027,207
79,150.029,150.031,149.964,149.983,182
80,149.981,149.981,149.873,149.953,222
81,149.950,149.950,149.842,149.877,114
82,149.880,149.924,149.861,149.896,183
83,149.898,149.908,149.812,149.846,167
84,149.848,149.920,149.808,149.916,172
85,149.918,149.922,149.875,149.875,91
86,149.873,149.873,149.806,149.810,117
87,149.812,149.886,149.798,149.882,172
88,149.880,149.880,149.762,149.762,164
89,149.760,149.814,149.728,149.812,265
90,149.810,149.855,149.780,149.848,164
91,149.846,149.894,149.806,149.818,305
92,149.820,149.860,149.789,149.824,227
93,149.826,149.846,149.751,149.798,276
94,149.796,149.796,149.700,149.708,189
95,149.706,149.819,149.706,149.781,181
96,149.783,149.836,149.753,149.775,286
97,149.773,149.810,149.750,149.802,182
98,149.805,149.865,149.777,149.859,289
99,149.862,149.872,149.795,149.798,127
100,149.796,149.808,149.758,149.766,144
101,149.764,149.822,149.746,149.808,144
102,149.810,149.844,149.790,149.839,191
103,149.841,149.898,149.813,149.896,274
104,149.894,149.899,149.810,149.829,317
105,149.831,149.872,149.830,149.867,212
106,149.864,149.914,149.835,149.904,185
107,149.902,149.920,149.807,149.807,215
108,149.809,149.824,149.758,149.796,226
109,149.793,149.854,149.793,149.854,136
110,149.849,149.858,149.714,149.719,465
111,149.717,149.752,149.688,149.688,231
112,149.691,149.762,149.686,149.705,209
113,149.703,149.712,149.644,149.696,178
114,149.694,149.770,149.692,149.762,225
115,149.760,149.814,149.726,149.790,238
116,149.788,149.884,149.750,149.774,376
117,149.772,149.786,149.720,149.727,179
118,149.730,149.748,149.642,149.660,172
119,149.658,149.759,149.658,149.734,171
120,149.736,149.761,149.693,149.735,127
121,149.733,149.762,149.700,149.702,171
122,149.700,149.786,149.688,149.786,444
123,149.784,149.807,149.713,149.727,295
124,149.724,149.735,149.638,149.692,311
125,149.690,149.690,149.566,149.578,300
126,149.576,149.590,149.484,149.484,348
127,149.482,149.548,149.414,149.446,318
128,149.450,149.545,149.420,149.462,665
129,149.464,149.516,149.400,149.422,451
130,149.419,149.496,149.416,149.446,285
131,149.448,149.490,149.438,149.472,222
132,149.474,149.560,149.474,149.540,268
133,149.538,149.605,149.518,149.594,299
134,149.592,149.642,149.552,149.597,281
135,149.594,149.677,149.564,149.652,342
136,149.650,149.692,149.474,149.488,401
137,149.491,149.532,149.426,149.494,490
138,149.492,149.531,149.430,149.473,427
139,149.470,149.470,149.178,149.220,1104
140,149.222,149.225,149.032,149.174,907
141,149.171,149.238,149.140,149.200,469
142,149.198,149.208,149.130,149.169,419
143,149.172,149.210,149.053,149.112,443
144,149.110,149.142,149.051,149.110,245
145,149.112,149.204,149.107,149.186,331
146,149.189,149.211,149.150,149.204,308
147,149.207,149.226,149.158,149.176,218
148,149.174,149.242,149.164,149.173,213
149,149.175,149.276,149.133,149.262,386
150,149.264,149.264,149.160,149.204,337
151,149.202,149.214,149.082,149.117,360
152,149.115,149.197,149.109,149.152,387
153,149.154,149.176,149.029,149.040,247
154,149.038,149.088,149.036,149.082,183
155,149.080,149.129,149.066,149.114,191
156,149.116,149.127,149.092,149.114,104
157,149.112,149.139,149.106,149.122,166
158,149.124,149.204,149.111,149.204,161
159,149.202,149.269,149.202,149.228,169
160,149.230,149.230,149.160,149.175,177
161,149.177,149.204,149.164,149.193,112
162,149.195,149.197,149.138,149.140,206
163,149.138,149.156,149.079,149.150,384
164,149.152,149.218,149.138,149.160,254
165,149.163,149.196,149.145,149.196,170
166,149.194,149.268,149.184,149.246,176
167,149.243,149.286,149.224,149.260,174
168,149.262,149.262,149.217,149.231,119
169,149.229,149.238,149.203,149.219,105
170,149.217,149.244,149.181,149.214,131
171,149.216,149.298,149.216,149.264,146
172,149.262,149.297,149.251,149.297,83
173,149.300,149.307,149.270,149.279,98
174,149.282,149.342,149.282,149.324,155
175,149.326,149.388,149.301,149.358,157
176,149.360,149.366,149.304,149.350,149
177,149.347,149.360,149.339,149.348,87
178,149.350,149.406,149.344,149.395,161
179,149.393,149.393,149.318,149.339,183
180,149.342,149.378,149.316,149.318,163
181,149.321,149.372,149.321,149.367,137
182,149.370,149.408,149.362,149.394,152
183,149.396,149.466,149.395,149.460,162
184,149.458,149.512,149.452,149.488,162
185,149.486,149.538,149.474,149.507,213
186,149.505,149.514,149.449,149.488,194
187,149.490,149.492,149.422,149.438,190
188,149.440,149.512,149.423,149.505,171
189,149.507,149.528,149.503,149.507,84
190,149.505,149.505,149.474,149.474,73
191,149.472,149.475,149.414,149.418,97
192,149.420,149.428,149.378,149.378,128
193,149.376,149.392,149.337,149.386,109
194,149.388,149.388,149.312,149.314,149
195,149.312,149.360,149.284,149.357,156
196,149.359,149.389,149.328,149.350,139
197,149.352,149.386,149.352,149.366,143
198,149.368,149.368,149.302,149.310,141
199,149.308,149.318,149.248,149.278,244
200,149.281,149.302,149.238,149.284,95
201,149.282,149.293,149.268,149.270,44
202,149.272,149.280,149.260,149.272,34
203,149.274,149.274,149.244,149.254,35
204,149.256,149.259,149.218,149.228,47
205,149.230,149.230,149.184,149.184,60
206,149.182,149.257,149.182,149.253,53
207,149.256,149.266,149.245,149.266,28
208,149.268,149.280,149.268,149.272,30
209,149.270,149.274,149.253,149.256,40
210,149.254,149.257,149.243,149.244,156
211,149.247,149.259,149.194,149.204,348
212,149.193,149.242,149.177,149.237,31
213,149.242,149.270,149.220,149.248,58
214,149.244,149.358,149.242,149.320,73
215,149.316,149.366,149.316,149.350,46
216,149.346,149.368,149.336,149.360,35
217,149.364,149.398,149.364,149.386,22
218,149.382,149.407,149.355,149.355,123
219,149.351,149.398,149.304,149.398,44
