,Open,High,Low,Close,Volume
0,1.37886,1.37904,1.37785,1.37810,2570
1,1.37802,1.37866,1.37787,1.37851,1768
2,1.37850,1.37917,1.37821,1.37822,1508
3,1.37822,1.37930,1.37776,1.37906,2016
4,1.37906,1.37916,1.37764,1.37796,2891
5,1.37796,1.37832,1.37612,1.37700,3973
6,1.37700,1.37810,1.37557,1.37810,3771
7,1.37804,1.37886,1.37712,1.37734,3632
8,1.37726,1.37906,1.37606,1.37906,4403
9,1.37906,1.38096,1.37838,1.37884,5652
10,1.37884,1.38173,1.37832,1.37876,4028
11,1.37882,1.38028,1.37592,1.37908,5736
12,1.37908,1.37936,1.37615,1.37720,6062
13,1.37720,1.37955,1.37650,1.37688,7093
14,1.37691,1.37816,1.37621,1.37685,5241
15,1.37686,1.37730,1.37570,1.37725,3895
16,1.37724,1.37786,1.37636,1.37784,3077
17,1.37790,1.37908,1.37754,1.37904,2163
18,1.37912,1.37936,1.37818,1.37908,3028
19,1.37908,1.38050,1.37888,1.38031,3241
20,1.38029,1.38160,1.37911,1.38064,11482
21,1.38064,1.38135,1.37780,1.37946,7148
22,1.37946,1.38068,1.37933,1.38009,3463
23,1.38008,1.38084,1.37960,1.37968,1885
24,1.37968,1.37968,1.37840,1.37884,1988
25,1.37885,1.37945,1.37809,1.37940,1630
26,1.37938,1.37943,1.37872,1.37932,1934
27,1.37932,1.38012,1.37862,1.37912,2156
28,1.37912,1.37962,1.37808,1.37832,3199
29,1.37831,1.37913,1.37677,1.37696,5229
30,1.37697,1.38192,1.37670,1.38062,5646
31,1.38056,1.38230,1.37844,1.38170,4439
32,1.38170,1.38347,1.38106,1.38220,3654
33,1.38227,1.38271,1.38065,1.38164,3793
34,1.38165,1.38227,1.38053,1.38116,3153
35,1.38114,1.38196,1.38031,1.38031,3999
36,1.38030,1.38212,1.37982,1.38176,3769
37,1.38174,1.38608,1.38068,1.38477,8536
38,1.38478,1.38775,1.38410,1.38554,5964
39,1.38554,1.38596,1.38433,1.38457,3587
40,1.38456,1.38536,1.38225,1.38336,3049
41,1.38337,1.38422,1.38246,1.38306,2637
42,1.38305,1.38469,1.38304,1.38467,2798
43,1.38468,1.38496,1.38434,1.38496,1430
44,1.38503,1.38514,1.38406,1.38428,968
45,1.38428,1.38524,1.38424,1.38489,2811
46,1.38488,1.38608,1.38472,1.38545,2663
47,1.38547,1.38635,1.38536,1.38536,3059
48,1.38536,1.38566,1.38424,1.38443,1537
49,1.38443,1.38524,1.38419,1.38444,1676
50,1.38444,1.38470,1.38395,1.38395,1458
51,1.38403,1.38483,1.38366,1.38464,1412
52,1.38464,1.38512,1.38279,1.38304,2499
53,1.38304,1.38376,1.38170,1.38248,4767
54,1.38248,1.38440,1.38164,1.38260,4404
55,1.38258,1.38548,1.38243,1.38490,3658
56,1.38490,1.38612,1.38433,1.38533,2595
57,1.38534,1.38991,1.38534,1.38974,6488
58,1.38974,1.39184,1.38946,1.39142,3791
59,1.39149,1.39300,1.38982,1.39060,4369
60,1.39067,1.39168,1.38884,1.38990,5831
61,1.38992,1.39008,1.38812,1.38827,5598
62,1.38832,1.38981,1.38737,1.38864,4605
63,1.38856,1.38893,1.38716,1.38794,3762
64,1.38788,1.38977,1.38787,1.38934,2863
65,1.38930,1.39000,1.38872,1.38882,2216
66,1.38884,1.38897,1.38827,1.38890,2029
67,1.38890,1.38924,1.38852,1.38902,1356
68,1.38902,1.39058,1.38850,1.39008,7704
69,1.39008,1.39088,1.38929,1.38988,7425
70,1.38988,1.39042,1.38936,1.38958,4357
71,1.38966,1.39013,1.38910,1.38938,3456
72,1.38940,1.38951,1.38853,1.38914,2782
73,1.38914,1.38958,1.38878,1.38926,2619
74,1.38926,1.38978,1.38914,1.38924,1935
75,1.38922,1.38966,1.38819,1.38840,2115
76,1.38840,1.39131,1.38830,1.39020,4600
77,1.39022,1.39024,1.38731,1.38742,4247
78,1.38741,1.38801,1.38684,1.38718,3161
79,1.38720,1.38792,1.38465,1.38656,4464
80,1.38654,1.38890,1.38600,1.38761,4405
81,1.38754,1.38764,1.38564,1.38564,2710
82,1.38564,1.38781,1.38528,1.38736,3052
83,1.38738,1.38824,1.38546,1.38812,4759
84,1.38813,1.39013,1.38733,1.38841,4572
85,1.38841,1.39006,1.38670,1.38951,6730
86,1.38951,1.38966,1.38794,1.38861,4542
87,1.38861,1.38882,1.38748,1.38874,3204
88,1.38875,1.38974,1.38822,1.38917,2110
89,1.38916,1.39012,1.38874,1.38962,2053
90,1.38960,1.39069,1.38930,1.39047,2429
91,1.39046,1.39064,1.38998,1.39007,1520
92,1.38936,1.39060,1.38925,1.39002,1391
93,1.39002,1.39064,1.38972,1.39038,2762
94,1.39038,1.39080,1.39000,1.39043,2081
95,1.39043,1.39064,1.38969,1.39046,2215
96,1.39038,1.39080,1.39010,1.39040,1989
97,1.39039,1.39066,1.38990,1.39066,2296
98,1.39074,1.39100,1.39010,1.39031,1146
99,1.39032,1.39052,1.38987,1.39004,1947
100,1.39004,1.39032,1.38882,1.38900,1948
101,1.38900,1.39102,1.38849,1.39066,3147
102,1.39066,1.39070,1.38827,1.38851,3807
103,1.38851,1.38874,1.38612,1.38628,4258
104,1.38628,1.38858,1.38596,1.38730,2602
105,1.38732,1.38784,1.38524,1.38626,2248
106,1.38626,1.38992,1.38600,1.38756,5617
