,Open,High,Low,Close,Volume
0,1.40762,1.40776,1.40755,1.40770,29
1,1.40771,1.40771,1.40766,1.40770,18
2,1.40771,1.40784,1.40765,1.40784,94
3,1.40784,1.40805,1.40784,1.40804,92
4,1.40804,1.40822,1.40804,1.40814,47
5,1.40814,1.40816,1.40804,1.40816,53
6,1.40814,1.40818,1.40808,1.40816,42
7,1.40817,1.40834,1.40814,1.40826,55
8,1.40825,1.40844,1.40824,1.40838,98
9,1.40846,1.40863,1.40839,1.40856,113
10,1.40856,1.40859,1.40824,1.40838,118
11,1.40836,1.40845,1.40830,1.40831,40
12,1.40839,1.40848,1.40832,1.40845,27
13,1.40841,1.40844,1.40836,1.40838,118
14,1.40838,1.40841,1.40825,1.40826,100
15,1.40826,1.40826,1.40798,1.40802,100
16,1.40809,1.40838,1.40809,1.40824,115
17,1.40830,1.40833,1.40804,1.40804,101
18,1.40804,1.40810,1.40778,1.40779,73
19,1.40780,1.40819,1.40774,1.40814,97
20,1.40815,1.40834,1.40800,1.40821,212
21,1.40822,1.40832,1.40802,1.40804,171
22,1.40806,1.40816,1.40802,1.40814,58
23,1.40815,1.40838,1.40806,1.40832,89
24,1.40832,1.40866,1.40816,1.40856,97
25,1.40856,1.40856,1.40824,1.40836,113
26,1.40844,1.40860,1.40814,1.40860,139
27,1.40858,1.40941,1.40858,1.40930,281
28,1.40930,1.40966,1.40924,1.40925,260
29,1.40927,1.40953,1.40926,1.40932,150
30,1.40932,1.40942,1.40892,1.40894,132
31,1.40895,1.40909,1.40895,1.40908,53
32,1.40910,1.40910,1.40850,1.40886,170
33,1.40886,1.40897,1.40880,1.40894,143
34,1.40886,1.40887,1.40816,1.40835,180
35,1.40834,1.40856,1.40827,1.40834,201
36,1.40836,1.40862,1.40820,1.40827,230
37,1.40826,1.40835,1.40786,1.40786,202
38,1.40788,1.40823,1.40654,1.40662,428
39,1.40654,1.40694,1.40586,1.40650,407
40,1.40652,1.40658,1.40590,1.40598,327
41,1.40590,1.40657,1.40550,1.40608,407
42,1.40608,1.40612,1.40526,1.40533,387
43,1.40531,1.40550,1.40498,1.40518,389
44,1.40512,1.40584,1.40357,1.40548,868
45,1.40549,1.40599,1.40517,1.40576,516
46,1.40576,1.40660,1.40548,1.40600,333
47,1.40598,1.40602,1.40532,1.40571,412
48,1.40564,1.40644,1.40554,1.40640,185
49,1.40646,1.40719,1.40646,1.40689,454
50,1.40689,1.40736,1.40670,1.40700,299
51,1.40700,1.40700,1.40593,1.40603,413
52,1.40595,1.40611,1.40406,1.40516,517
