,Open,High,Low,Close,Volume
0,0.72734,0.72734,0.72614,0.72653,2893
1,0.72654,0.72743,0.72654,0.72682,1808
2,0.72680,0.72754,0.72678,0.72704,1409
3,0.72703,0.72754,0.72646,0.72735,1798
4,0.72733,0.72754,0.72661,0.72661,2785
5,0.72660,0.72710,0.72639,0.72689,3245
6,0.72688,0.72794,0.72648,0.72750,3368
7,0.72756,0.72780,0.72511,0.72511,2578
8,0.72510,0.72536,0.72322,0.72344,3340
9,0.72342,0.72456,0.72310,0.72423,4894
10,0.72424,0.72442,0.72264,0.72332,3934
11,0.72334,0.72546,0.72334,0.72460,3930
12,0.72458,0.72460,0.72303,0.72388,4754
13,0.72390,0.72466,0.72337,0.72350,5874
14,0.72352,0.72370,0.72268,0.72332,4990
15,0.72330,0.72342,0.72194,0.72222,3179
16,0.72222,0.72338,0.72220,0.72297,2325
17,0.72298,0.72336,0.72256,0.72336,2123
18,0.72335,0.72386,0.72297,0.72370,2168
19,0.72369,0.72448,0.72326,0.72364,1493
20,0.72396,0.72458,0.72322,0.72390,911
21,0.72388,0.72404,0.72257,0.72318,2512
22,0.72319,0.72408,0.72286,0.72286,2582
23,0.72288,0.72411,0.72271,0.72288,1796
24,0.72282,0.72291,0.72060,0.72154,2352
25,0.72154,0.72244,0.72126,0.72220,1391
26,0.72220,0.72271,0.72216,0.72224,1348
27,0.72224,0.72262,0.72152,0.72222,1824
28,0.72220,0.72242,0.72082,0.72110,2300
29,0.72110,0.72194,0.72066,0.72068,3307
30,0.72066,0.72185,0.72028,0.72154,3361
31,0.72153,0.72222,0.72138,0.72212,1966
32,0.72212,0.72289,0.72186,0.72288,1801
33,0.72292,0.72332,0.72256,0.72259,1733
34,0.72260,0.72294,0.72219,0.72249,2143
35,0.72250,0.72306,0.72225,0.72226,2147
36,0.72226,0.72239,0.72118,0.72234,2857
37,0.72232,0.72354,0.72184,0.72346,3326
38,0.72348,0.72422,0.72307,0.72307,2871
39,0.72309,0.72328,0.72208,0.72225,2003
40,0.72228,0.72297,0.72214,0.72252,1427
41,0.72252,0.72264,0.72200,0.72264,1425
42,0.72263,0.72294,0.72224,0.72278,1414
43,0.72276,0.72292,0.72246,0.72270,1391
44,0.72246,0.72274,0.72224,0.72230,212
45,0.72228,0.72309,0.72228,0.72244,942
46,0.72243,0.72407,0.72212,0.72365,2979
47,0.72364,0.72406,0.72316,0.72346,2851
48,0.72346,0.72378,0.72304,0.72356,1502
49,0.72358,0.72447,0.72328,0.72342,2416
50,0.72343,0.72408,0.72326,0.72338,1287
51,0.72338,0.72456,0.72310,0.72418,1419
52,0.72419,0.72459,0.72323,0.72366,1693
53,0.72367,0.72387,0.72308,0.72358,3033
