,Open,High,Low,Close,Volume
0,0.71935,0.71953,0.71932,0.71942,64
1,0.71942,0.71944,0.71926,0.71932,92
2,0.71934,0.71942,0.71929,0.71932,75
3,0.71938,0.71942,0.71938,0.71942,25
4,0.71942,0.71952,0.71935,0.71950,97
5,0.71952,0.71980,0.71952,0.71966,125
6,0.71968,0.71981,0.71966,0.71970,54
7,0.71970,0.71972,0.71966,0.71966,42
8,0.71968,0.71980,0.71959,0.71980,29
9,0.71977,0.71994,0.71969,0.71992,116
10,0.71992,0.72014,0.71991,0.72013,101
11,0.72014,0.72019,0.71996,0.72016,178
12,0.72016,0.72022,0.71989,0.72018,109
13,0.72018,0.72024,0.72008,0.72014,116
14,0.72015,0.72020,0.72004,0.72006,75
15,0.72007,0.72018,0.72004,0.72010,87
16,0.72012,0.72012,0.71996,0.72004,89
17,0.72004,0.72005,0.71990,0.71990,80
18,0.71990,0.72009,0.71990,0.72004,69
19,0.72005,0.72008,0.71993,0.71996,96
20,0.71996,0.72011,0.71994,0.71997,80
21,0.71996,0.72006,0.71992,0.72000,73
22,0.72001,0.72001,0.71989,0.71996,221
23,0.71996,0.72006,0.71990,0.71995,101
24,0.72001,0.72004,0.71962,0.71971,100
25,0.71972,0.71996,0.71971,0.71995,65
26,0.71994,0.72016,0.71984,0.72010,109
27,0.72011,0.72011,0.71990,0.72010,69
28,0.72008,0.72029,0.72008,0.72029,68
29,0.72029,0.72068,0.72029,0.72065,80
30,0.72070,0.72084,0.72063,0.72064,131
31,0.72065,0.72076,0.72056,0.72076,122
32,0.72077,0.72084,0.72065,0.72075,71
33,0.72075,0.72084,0.72060,0.72084,92
34,0.72084,0.72084,0.72035,0.72042,141
35,0.72040,0.72054,0.72012,0.72028,121
36,0.72028,0.72028,0.71982,0.72000,248
37,0.72001,0.72012,0.71992,0.71993,176
38,0.71994,0.72008,0.71978,0.71997,145
39,0.71999,0.72012,0.71999,0.72012,64
40,0.72013,0.72038,0.72008,0.72015,170
41,0.72010,0.72010,0.71976,0.71979,132
42,0.71981,0.71987,0.71958,0.71964,179
43,0.71958,0.71966,0.71944,0.71964,184
44,0.71959,0.71970,0.71951,0.71951,169
45,0.71950,0.71955,0.71930,0.71937,140
46,0.71932,0.71960,0.71888,0.71942,293
47,0.71944,0.71964,0.71934,0.71956,315
48,0.71956,0.71999,0.71946,0.71996,252
49,0.71995,0.72001,0.71974,0.71984,137
