,Open,High,Low,Close,Volume
0,1.28257,1.28416,1.28256,1.28368,3789
1,1.28367,1.28368,1.28302,1.28326,1779
2,1.28324,1.28326,1.28271,1.28326,1485
3,1.28325,1.28360,1.28270,1.28298,1764
4,1.28304,1.28396,1.28303,1.28390,3110
5,1.28391,1.28410,1.28334,1.28371,3650
6,1.28374,1.28455,1.28345,1.28424,2957
7,1.28423,1.28628,1.28398,1.28620,2773
8,1.28627,1.28648,1.28565,1.28592,3146
9,1.28591,1.28650,1.28498,1.28590,4597
10,1.28588,1.28743,1.28560,1.28740,4235
11,1.28741,1.28994,1.28546,1.28631,8653
12,1.28634,1.28946,1.28632,1.28827,8092
13,1.28828,1.28962,1.28704,1.28872,8667
14,1.28874,1.29048,1.28788,1.28835,7697
15,1.28836,1.29048,1.28771,1.29004,6003
16,1.29004,1.29115,1.28984,1.29067,3995
17,1.29062,1.29160,1.28940,1.28964,4558
18,1.28965,1.29081,1.28832,1.28874,6408
19,1.28874,1.28925,1.28688,1.28824,5376
20,1.28770,1.28950,1.28706,1.28782,1120
21,1.28782,1.28990,1.28760,1.28874,3318
22,1.28873,1.28916,1.28811,1.28866,3069
23,1.28864,1.28876,1.28780,1.28871,2824
24,1.28870,1.29022,1.28870,1.28989,2619
25,1.28988,1.29018,1.28930,1.28944,1895
26,1.28944,1.28980,1.28931,1.28978,1522
27,1.28980,1.28996,1.28936,1.28956,2031
28,1.28956,1.29084,1.28928,1.29045,3333
29,1.29045,1.29106,1.28983,1.29092,5436
30,1.29093,1.29114,1.28897,1.28938,5463
31,1.28936,1.28990,1.28864,1.28894,4054
32,1.28894,1.28952,1.28887,1.28908,3422
33,1.28907,1.29128,1.28894,1.29112,4666
34,1.29112,1.29384,1.29104,1.29362,4804
35,1.29363,1.29660,1.29304,1.29641,4897
36,1.29642,1.29894,1.29626,1.29786,6773
37,1.29771,1.29848,1.29651,1.29705,8306
38,1.29705,1.29852,1.29648,1.29838,6147
39,1.29840,1.29884,1.29779,1.29784,4670
40,1.29784,1.29846,1.29722,1.29838,3678
41,1.29840,1.29978,1.29814,1.29961,3657
42,1.29967,1.30011,1.29838,1.29853,4131
43,1.29851,1.29959,1.29622,1.29644,4340
44,1.29704,1.29797,1.29627,1.29764,1666
45,1.29764,1.29806,1.29724,1.29805,3506
46,1.29804,1.29876,1.29693,1.29710,4241
47,1.29710,1.29718,1.29624,1.29716,3640
48,1.29718,1.29800,1.29690,1.29764,1738
49,1.29759,1.29792,1.29692,1.29758,2021
50,1.29759,1.29802,1.29738,1.29786,1474
51,1.29786,1.29821,1.29732,1.29776,1896
52,1.29782,1.29890,1.29722,1.29853,4560
53,1.29852,1.29916,1.29839,1.29896,4551
54,1.29896,1.29952,1.29824,1.29950,3508
55,1.29952,1.29952,1.29808,1.29817,3355
56,1.29817,1.29824,1.29720,1.29778,3486
57,1.29774,1.29774,1.29314,1.29314,7114
58,1.29314,1.29435,1.28831,1.28878,7301
59,1.28877,1.29151,1.28620,1.29016,6886
60,1.29014,1.29182,1.28894,1.29038,6739
61,1.29037,1.29066,1.28752,1.29010,8615
62,1.29010,1.29143,1.28884,1.28938,6918
63,1.28937,1.29255,1.28913,1.28989,5470
64,1.28988,1.28992,1.28820,1.28946,5162
65,1.28952,1.29016,1.28888,1.28992,4537
66,1.28992,1.29039,1.28848,1.28873,3850
67,1.28874,1.28900,1.28750,1.28764,4577
68,1.28777,1.29304,1.28752,1.29198,3001
69,1.29197,1.29610,1.29104,1.29482,6465
70,1.29482,1.29506,1.29268,1.29422,5645
71,1.29422,1.29438,1.29158,1.29162,5228
72,1.29160,1.29284,1.29150,1.29202,3607
73,1.29202,1.29311,1.29180,1.29284,4700
74,1.29286,1.29306,1.29254,1.29280,1680
75,1.29281,1.29352,1.29264,1.29323,2445
76,1.29324,1.29330,1.29214,1.29250,5803
77,1.29249,1.29420,1.29248,1.29350,4168
78,1.29356,1.29368,1.29199,1.29312,4573
79,1.29312,1.29392,1.29285,1.29371,3521
80,1.29370,1.29388,1.29196,1.29260,4121
81,1.29258,1.29360,1.29248,1.29349,3910
82,1.29350,1.29412,1.29194,1.29196,4878
83,1.29200,1.29345,1.28916,1.29129,8692
84,1.29130,1.29296,1.29064,1.29238,7538
