,Open,High,Low,Close,Volume
0,1.29230,1.29232,1.29204,1.29212,85
1,1.29212,1.29238,1.29212,1.29230,138
2,1.29230,1.29232,1.29222,1.29231,87
3,1.29232,1.29234,1.29224,1.29224,95
4,1.29225,1.29232,1.29206,1.29208,78
5,1.29208,1.29208,1.29192,1.29199,96
6,1.29199,1.29206,1.29192,1.29198,87
7,1.29198,1.29202,1.29196,1.29198,65
8,1.29198,1.29204,1.29184,1.29185,90
9,1.29183,1.29190,1.29172,1.29182,104
10,1.29182,1.29183,1.29149,1.29149,168
11,1.29149,1.29162,1.29144,1.29144,161
12,1.29142,1.29173,1.29141,1.29156,158
13,1.29156,1.29177,1.29156,1.29172,98
14,1.29173,1.29173,1.29161,1.29173,83
15,1.29172,1.29176,1.29122,1.29137,262
16,1.29136,1.29155,1.29128,1.29152,124
17,1.29153,1.29159,1.29152,1.29159,66
18,1.29162,1.29164,1.29148,1.29148,100
19,1.29148,1.29170,1.29146,1.29166,108
20,1.29166,1.29175,1.29158,1.29174,134
21,1.29173,1.29180,1.29164,1.29172,126
22,1.29171,1.29186,1.29170,1.29178,145
23,1.29178,1.29194,1.29178,1.29190,258
24,1.29189,1.29198,1.29184,1.29196,256
25,1.29196,1.29198,1.29177,1.29180,140
26,1.29179,1.29188,1.29162,1.29164,146
27,1.29164,1.29182,1.29164,1.29164,184
28,1.29164,1.29166,1.29140,1.29140,252
29,1.29140,1.29144,1.29099,1.29108,272
30,1.29108,1.29128,1.29088,1.29128,186
31,1.29134,1.29134,1.29102,1.29102,221
32,1.29103,1.29114,1.29082,1.29089,150
33,1.29089,1.29119,1.29085,1.29085,285
34,1.29084,1.29114,1.29078,1.29112,132
35,1.29111,1.29122,1.29087,1.29104,205
36,1.29104,1.29140,1.29104,1.29124,165
37,1.29118,1.29138,1.29096,1.29132,187
38,1.29132,1.29148,1.29118,1.29127,147
39,1.29128,1.29139,1.29114,1.29130,296
40,1.29130,1.29144,1.29104,1.29144,390
41,1.29146,1.29164,1.29129,1.29154,293
42,1.29148,1.29183,1.29144,1.29168,382
43,1.29171,1.29194,1.29168,1.29182,316
44,1.29182,1.29184,1.29145,1.29180,219
45,1.29180,1.29206,1.29168,1.29184,367
46,1.29182,1.29260,1.29172,1.29196,747
47,1.29198,1.29220,1.29178,1.29202,431
48,1.29202,1.29222,1.29160,1.29170,347
49,1.29170,1.29193,1.29160,1.29177,275
50,1.29177,1.29187,1.29168,1.29170,204
51,1.29169,1.29180,1.29146,1.29148,246
52,1.29153,1.29168,1.29126,1.29146,317
53,1.29146,1.29174,1.29134,1.29168,419
54,1.29168,1.29204,1.29142,1.29180,375
55,1.29182,1.29219,1.29182,1.29190,302
56,1.29189,1.29208,1.29174,1.29181,334
57,1.29180,1.29189,1.29141,1.29158,271
58,1.29158,1.29174,1.29126,1.29158,306
59,1.29160,1.29205,1.29160,1.29196,206
60,1.29194,1.29217,1.29184,1.29206,138
61,1.29204,1.29215,1.29180,1.29211,182
62,1.29212,1.29238,1.29183,1.29183,218
63,1.29178,1.29198,1.29162,1.29185,218
