,Open,High,Low,Close,Volume
0,0.94105,0.94133,0.94078,0.94108,1359
1,0.94116,0.94116,0.93999,0.94020,767
2,0.94014,0.94024,0.93970,0.94018,663
3,0.94026,0.94032,0.93872,0.93896,1033
4,0.93896,0.93991,0.93896,0.93978,1602
5,0.93986,0.94040,0.93931,0.93950,1912
6,0.93950,0.94026,0.93762,0.93803,1807
7,0.93806,0.93842,0.93648,0.93774,1530
8,0.93774,0.93804,0.93655,0.93656,2049
9,0.93664,0.93682,0.93388,0.93538,2782
10,0.93544,0.93567,0.93445,0.93534,1255
11,0.93534,0.93626,0.93452,0.93534,2112
12,0.93536,0.93675,0.93500,0.93604,1856
13,0.93604,0.93836,0.93468,0.93798,2830
14,0.93798,0.93846,0.93680,0.93788,2092
15,0.93794,0.93892,0.93740,0.93796,1255
16,0.93797,0.93836,0.93700,0.93758,1402
17,0.93759,0.93804,0.93643,0.93691,1120
18,0.93690,0.93745,0.93668,0.93732,1095
19,0.93738,0.93821,0.93711,0.93798,744
20,0.93613,0.93747,0.93491,0.93626,939
21,0.93626,0.93828,0.93612,0.93709,12915
22,0.93710,0.93749,0.93578,0.93607,1743
23,0.93608,0.93630,0.93546,0.93618,1260
24,0.93618,0.93649,0.93566,0.93628,1093
25,0.93627,0.93658,0.93574,0.93616,1161
26,0.93616,0.93647,0.93614,0.93633,818
27,0.93633,0.93676,0.93591,0.93628,1199
28,0.93626,0.93764,0.93626,0.93726,1857
29,0.93725,0.93827,0.93645,0.93752,3514
30,0.93752,0.93786,0.93552,0.93560,3565
31,0.93562,0.93634,0.93530,0.93604,1681
32,0.93604,0.93724,0.93546,0.93668,1422
33,0.93675,0.93816,0.93663,0.93767,1333
34,0.93766,0.93945,0.93766,0.93872,1522
35,0.93880,0.93894,0.93768,0.93816,1924
36,0.93814,0.93901,0.93764,0.93795,1905
37,0.93796,0.93896,0.93756,0.93871,1990
38,0.93878,0.94020,0.93834,0.93980,2477
39,0.93979,0.94032,0.93862,0.94002,1151
40,0.94003,0.94049,0.93947,0.94013,993
41,0.94013,0.94057,0.93989,0.94050,638
42,0.94044,0.94084,0.94016,0.94024,512
43,0.94031,0.94040,0.93978,0.93985,417
44,0.93984,0.94036,0.93976,0.94024,629
45,0.94023,0.94024,0.93974,0.93980,1472
46,0.93980,0.94018,0.93905,0.93922,1419
47,0.93922,0.93923,0.93855,0.93894,1766
48,0.93895,0.93966,0.93882,0.93940,985
49,0.93948,0.93956,0.93891,0.93916,666
50,0.93914,0.93976,0.93908,0.93967,810
51,0.93960,0.93992,0.93929,0.93956,906
52,0.93956,0.94056,0.93911,0.94002,1765
53,0.94012,0.94196,0.93962,0.94164,2030
54,0.94164,0.94170,0.94031,0.94120,1461
55,0.94119,0.94124,0.93956,0.93964,1192
56,0.93970,0.94070,0.93950,0.94022,922
57,0.94022,0.94098,0.93781,0.93800,3446
58,0.93800,0.93866,0.93672,0.93695,1541
59,0.93688,0.93752,0.93602,0.93621,1855
60,0.93620,0.93886,0.93620,0.93830,2343
61,0.93830,0.93988,0.93774,0.93922,1711
62,0.93914,0.93914,0.93703,0.93848,1800
63,0.93854,0.94035,0.93844,0.94014,1389
64,0.94014,0.94018,0.93917,0.93970,1235
65,0.93970,0.94092,0.93930,0.94060,727
66,0.94061,0.94124,0.94030,0.94095,865
67,0.94095,0.94100,0.94048,0.94054,350
68,0.94084,0.94084,0.93710,0.93715,2276
69,0.93716,0.93882,0.93661,0.93828,2712
70,0.93826,0.93852,0.93724,0.93737,2293
71,0.93729,0.93841,0.93724,0.93828,2290
72,0.93828,0.93839,0.93710,0.93738,1004
73,0.93738,0.93756,0.93668,0.93727,1128
74,0.93734,0.93764,0.93684,0.93764,320
75,0.93772,0.93774,0.93700,0.93736,1158
76,0.93736,0.93751,0.93580,0.93684,1499
77,0.93690,0.94018,0.93690,0.93988,2190
