,Open,High,Low,Close,Volume
0,106.014,106.092,105.936,106.041,1634
1,106.043,106.077,106.004,106.024,946
2,106.026,106.154,105.993,106.082,917
3,106.080,106.150,105.757,105.797,1732
4,105.794,105.937,105.710,105.900,2092
5,105.902,105.978,105.718,105.738,2012
6,105.736,105.838,105.637,105.670,1835
7,105.668,105.947,105.628,105.760,1913
8,105.758,105.758,105.534,105.537,1371
9,105.540,105.590,105.274,105.429,2455
10,105.426,105.489,105.251,105.378,2041
11,105.380,105.500,105.254,105.418,2431
12,105.420,105.494,105.343,105.362,2732
13,105.360,105.561,105.284,105.472,3196
14,105.469,105.678,105.405,105.670,2786
15,105.668,105.680,105.576,105.581,2183
16,105.578,105.581,105.408,105.493,1523
17,105.490,105.607,105.457,105.543,1339
18,105.541,105.723,105.517,105.723,1697
19,105.726,105.748,105.686,105.743,627
20,105.452,105.676,105.452,105.612,1099
21,105.610,105.680,105.466,105.561,1284
22,105.564,105.678,105.457,105.466,1610
23,105.464,105.568,105.421,105.480,1341
24,105.478,105.554,105.429,105.463,1136
25,105.465,105.560,105.419,105.552,1061
26,105.550,105.594,105.484,105.494,943
27,105.496,105.618,105.482,105.572,891
28,105.574,105.606,105.500,105.548,808
29,105.545,105.545,105.350,105.391,2367
30,105.394,105.628,105.377,105.541,2271
31,105.543,105.598,105.470,105.579,1218
32,105.582,105.649,105.555,105.610,1145
33,105.607,105.680,105.551,105.667,796
34,105.664,105.693,105.602,105.610,832
35,105.612,105.683,105.596,105.666,1035
36,105.664,105.924,105.658,105.790,2043
37,105.793,105.900,105.714,105.837,2503
38,105.839,105.996,105.805,105.971,1894
39,105.968,106.184,105.880,106.168,1649
40,106.170,106.232,106.122,106.170,1090
41,106.168,106.240,106.132,106.204,951
42,106.202,106.228,106.160,106.160,643
43,106.162,106.215,106.150,106.202,213
44,106.202,106.220,106.164,106.218,217
45,106.216,106.281,106.173,106.256,609
46,106.258,106.388,106.240,106.314,1419
47,106.316,106.386,106.264,106.334,1194
48,106.332,106.462,106.314,106.410,1078
49,106.407,106.424,106.346,106.364,632
50,106.362,106.374,106.270,106.285,682
51,106.287,106.294,106.178,106.226,735
52,106.224,106.264,106.154,106.240,715
53,106.243,106.288,106.070,106.150,1570
54,106.148,106.152,105.990,106.041,1426
55,106.043,106.058,105.862,105.864,889
56,105.862,105.982,105.856,105.954,824
57,105.952,106.425,105.940,106.354,3139
58,106.356,106.437,106.268,106.272,1399
59,106.270,106.282,106.036,106.046,1623
60,106.049,106.182,105.948,106.046,2088
61,106.044,106.200,105.976,106.029,2595
62,106.026,106.052,105.906,106.030,2168
63,106.028,106.265,105.986,106.218,1668
64,106.216,106.251,106.090,106.104,1420
65,106.107,106.224,106.068,106.224,611
66,106.222,106.238,106.153,106.214,825
67,106.211,106.214,106.116,106.118,260
68,106.144,106.188,105.560,105.664,3001
69,105.666,105.676,105.458,105.580,2572
70,105.582,105.704,105.510,105.643,3373
71,105.641,105.868,105.638,105.821,2153
72,105.819,105.854,105.653,105.677,1448
73,105.679,105.748,105.628,105.690,1114
74,105.692,105.708,105.621,105.694,629
75,105.696,105.698,105.534,105.643,1128
76,105.646,105.665,105.513,105.576,1173
77,105.578,105.748,105.570,105.718,1772
78,105.716,105.804,105.636,105.750,1700
79,105.752,105.766,105.550,105.615,1115
80,105.613,105.686,105.550,105.556,1038
81,105.553,105.699,105.506,105.690,1080
82,105.688,105.782,105.686,105.722,931
83,105.724,105.989,105.723,105.833,1960
84,105.830,105.998,105.792,105.909,2266
85,105.906,106.058,105.808,105.992,2993
86,105.989,106.223,105.939,105.941,2219
87,105.943,105.960,105.829,105.918,1998
88,105.916,105.987,105.827,105.965,1196
89,105.968,106.096,105.935,106.063,1090
90,106.066,106.169,106.054,106.078,790
91,106.076,106.107,106.044,106.069,237
92,106.084,106.134,106.016,106.128,336
93,106.131,106.207,106.052,106.184,589
94,106.182,106.204,106.046,106.082,1698
95,106.080,106.178,106.060,106.137,1219
96,106.139,106.143,106.064,106.084,939
97,106.082,106.148,106.065,106.090,643
98,106.088,106.094,105.998,106.058,658
99,106.056,106.056,105.928,105.972,942
100,105.974,106.014,105.939,105.972,614
101,105.970,105.998,105.894,105.947,864
102,105.944,106.118,105.911,106.091,1304
103,106.094,106.134,106.055,106.089,976
104,106.091,106.119,106.068,106.072,490
105,106.074,106.150,106.065,106.110,551
106,106.112,106.202,106.104,106.140,1005
107,106.144,106.200,106.014,106.078,2372
108,106.081,106.263,106.044,106.130,2596
109,106.128,106.228,106.050,106.082,2021
110,106.084,106.174,106.056,106.092,1417
111,106.089,106.150,106.063,106.134,888
112,106.137,106.202,106.124,106.140,659
113,106.142,106.252,106.109,106.233,759
114,106.236,106.296,106.130,106.260,1048
115,106.258,106.316,106.168,106.223,582
116,106.202,106.314,106.173,106.290,1341
117,106.292,106.440,106.265,106.420,1029
118,106.418,106.706,106.353,106.655,2019
119,106.653,106.943,106.653,106.868,2529
120,106.865,106.887,106.642,106.674,1419
121,106.676,106.737,106.594,106.715,1017
122,106.713,106.748,106.571,106.631,1208
123,106.629,106.699,106.608,106.642,835
124,106.644,106.756,106.627,106.712,969
125,106.710,106.738,106.644,106.685,1126
126,106.682,106.778,106.678,106.732,1120
127,106.734,106.786,106.700,106.780,766
128,106.782,106.787,106.705,106.757,567
129,106.755,106.821,106.742,106.805,502
130,106.802,106.854,106.794,106.838,594
131,106.841,107.052,106.762,106.871,4444
132,106.869,106.953,106.832,106.882,2156
133,106.884,107.039,106.852,106.950,2184
134,106.952,106.992,106.718,106.748,1621
135,106.751,106.842,106.748,106.815,1037
136,106.817,106.871,106.791,106.857,734
137,106.855,106.884,106.752,106.769,587
138,106.772,106.900,106.680,106.815,1484
139,106.813,106.835,106.764,106.816,364
140,106.652,106.814,106.652,106.796,122
141,106.794,106.958,106.728,106.944,857
142,106.947,106.972,106.882,106.904,701
143,106.902,106.968,106.850,106.924,1512
144,106.926,106.972,106.560,106.583,2081
145,106.586,106.638,106.512,106.582,1244
146,106.584,106.644,106.584,106.625,573
147,106.622,106.634,106.357,106.400,1137
148,106.402,106.673,106.372,106.637,1416
149,106.635,106.732,106.613,106.638,885
150,106.636,106.681,106.526,106.578,1169
151,106.576,106.598,106.462,106.547,1145
152,106.550,106.560,106.476,106.544,589
153,106.542,106.599,106.535,106.564,428
154,106.566,106.626,106.496,106.624,661
155,106.622,106.649,106.585,106.602,779
156,106.604,106.609,106.494,106.524,775
157,106.526,106.581,106.422,106.426,1319
158,106.423,106.530,106.418,106.518,1532
159,106.522,106.589,106.504,106.548,721
160,106.551,106.568,106.470,106.534,498
161,106.537,106.542,106.316,106.364,727
162,106.362,106.428,106.318,106.359,588
163,106.356,106.420,106.318,106.414,278
164,106.420,106.442,106.408,106.442,222
165,106.446,106.472,106.395,106.409,341
166,106.406,106.408,106.262,106.293,527
167,106.296,106.382,106.256,106.320,1551
168,106.318,106.400,106.313,106.370,904
169,106.368,106.435,106.342,106.420,425
170,106.418,106.578,106.414,106.552,690
171,106.554,106.807,106.552,106.772,1314
172,106.774,106.846,106.712,106.778,844
173,106.780,106.900,106.724,106.874,682
174,106.872,106.992,106.831,106.972,979
175,106.974,107.032,106.887,106.926,1045
176,106.928,107.224,106.922,107.148,1299
177,107.146,107.208,107.142,107.197,672
178,107.195,107.278,107.162,107.189,786
179,107.186,107.296,106.710,106.958,4352
180,106.956,106.964,106.818,106.904,2514
181,106.906,107.120,106.818,106.878,2773
182,106.880,106.891,106.573,106.632,2907
183,106.634,106.668,106.486,106.605,1813
184,106.608,106.721,106.581,106.615,1038
185,106.612,106.674,106.566,106.613,877
186,106.616,106.681,106.460,106.538,1580
187,106.540,106.600,106.535,106.580,328
188,106.572,106.608,106.446,106.462,383
189,106.465,106.500,106.398,106.500,416
190,106.497,106.537,106.454,106.530,466
191,106.532,106.748,106.532,106.681,1691
192,106.679,106.722,106.498,106.526,1064
193,106.524,106.548,106.415,106.417,794
194,106.419,106.532,106.396,106.458,667
195,106.456,106.535,106.413,106.520,764
196,106.522,106.544,106.382,106.462,591
197,106.464,106.576,106.464,106.502,769
198,106.504,106.613,106.475,106.599,1015
199,106.602,106.718,106.565,106.588,1524
200,106.590,106.602,106.496,106.568,755
201,106.571,106.614,106.482,106.494,490
202,106.498,106.541,106.399,106.451,750
203,106.448,106.581,106.316,106.562,2018
204,106.560,106.590,106.443,106.482,1417
205,106.484,106.548,106.354,106.372,1844
206,106.375,106.396,106.068,106.166,2497
207,106.168,106.293,106.066,106.260,2303
208,106.258,106.372,106.176,106.336,1280
209,106.338,106.387,106.219,106.258,1314
210,106.261,106.296,106.169,106.258,1643
211,106.260,106.330,106.253,106.326,225
212,106.305,106.342,106.288,106.320,414
213,106.318,106.358,106.299,106.319,345
214,106.316,106.316,106.112,106.166,753
215,106.163,106.176,105.855,105.866,2341
216,105.868,105.947,105.826,105.929,1882
217,105.927,106.079,105.876,106.006,978
218,106.004,106.049,105.930,106.029,660
219,106.026,106.038,105.954,105.978,443
220,105.980,105.983,105.788,105.932,1124
221,105.930,106.065,105.930,106.050,754
222,106.052,106.138,106.040,106.082,980
223,106.086,106.178,106.024,106.070,833
224,106.068,106.089,105.896,105.948,1042
225,105.944,105.945,105.842,105.905,1123
226,105.903,106.017,105.874,105.986,829
227,105.984,106.088,105.922,106.002,1474
228,105.999,106.083,105.912,105.914,1345
229,105.916,106.014,105.867,106.014,2152
230,106.017,106.162,106.010,106.070,1936
231,106.072,106.250,106.034,106.217,1205
232,106.214,106.300,105.957,105.992,1432
233,105.995,106.262,105.938,106.240,1495
234,106.238,106.286,106.177,106.267,1093
235,106.269,106.413,106.250,106.334,527
236,106.368,106.380,106.240,106.344,916
237,106.346,106.354,106.286,106.290,1003
238,106.292,106.368,106.279,106.310,350
239,106.313,106.335,106.182,106.200,1155
240,106.198,106.204,105.938,105.999,2760
241,105.996,106.042,105.885,105.932,987
242,105.930,106.004,105.852,105.898,703
243,105.896,105.922,105.849,105.888,638
244,105.891,105.968,105.874,105.884,631
245,105.886,106.007,105.867,105.950,591
246,105.948,105.978,105.643,105.657,1438
247,105.655,105.814,105.655,105.800,852
248,105.798,105.811,105.660,105.714,615
249,105.716,105.740,105.664,105.671,593
250,105.673,105.678,105.605,105.626,720
251,105.624,105.805,105.616,105.800,1000
252,105.798,106.077,105.750,106.054,1665
253,106.052,106.158,106.028,106.156,1963
254,106.154,106.236,106.058,106.086,1599
255,106.089,106.144,106.068,106.111,977
256,106.113,106.176,106.071,106.089,613
257,106.092,106.130,106.049,106.086,508
258,106.083,106.106,106.032,106.044,437
259,106.046,106.085,105.972,105.996,593
260,105.915,106.075,105.911,106.054,399
261,106.051,106.051,105.931,105.977,465
262,105.975,106.010,105.909,105.960,698
263,105.962,106.151,105.876,105.912,2158
264,105.910,105.938,105.747,105.814,1828
265,105.812,105.894,105.792,105.816,810
266,105.818,105.862,105.802,105.815,513
267,105.812,105.827,105.691,105.709,672
268,105.712,105.784,105.680,105.746,774
269,105.743,105.792,105.684,105.748,594
270,105.750,105.916,105.697,105.902,1220
271,105.900,105.937,105.818,105.909,1225
272,105.906,106.014,105.892,105.998,954
273,106.000,106.172,105.993,106.152,1087
274,106.155,106.212,106.086,106.194,870
275,106.196,106.308,106.185,106.198,1785
276,106.196,106.220,106.058,106.098,1321
277,106.096,106.214,106.022,106.044,1287
278,106.042,106.128,105.818,105.834,1722
279,105.836,105.940,105.785,105.900,1675
280,105.897,105.897,105.794,105.888,1310
281,105.886,106.042,105.836,105.954,1571
282,105.956,106.146,105.923,106.118,1796
