,Open,High,Low,Close,Volume
0,104.837,104.908,104.828,104.883,804
1,104.886,104.959,104.798,104.944,631
2,104.942,104.950,104.856,104.866,531
3,104.868,104.950,104.862,104.909,540
4,104.906,105.047,104.888,105.036,602
5,105.038,105.038,104.909,104.954,557
6,104.956,105.010,104.893,104.914,588
7,104.911,105.061,104.909,105.034,543
8,105.031,105.056,104.950,104.959,425
9,104.957,104.957,104.880,104.928,571
10,104.926,104.950,104.888,104.937,367
11,104.935,104.935,104.802,104.802,677
12,104.805,104.830,104.754,104.806,979
13,104.808,104.862,104.752,104.792,1110
14,104.790,104.794,104.722,104.748,920
15,104.745,104.843,104.661,104.812,810
16,104.809,104.878,104.773,104.846,371
17,104.849,104.853,104.825,104.825,60
18,104.828,104.847,104.778,104.811,197
19,104.814,104.823,104.716,104.738,339
20,104.660,104.689,104.656,104.663,33
21,104.663,104.762,104.663,104.762,87
22,104.759,104.759,104.714,104.714,33
23,104.712,104.712,104.638,104.673,282
24,104.670,104.766,104.664,104.752,172
25,104.750,104.820,104.745,104.789,115
26,104.792,104.792,104.710,104.718,102
27,104.720,104.744,104.714,104.730,75
28,104.732,104.841,104.732,104.841,126
29,104.844,104.846,104.765,104.816,195
30,104.812,104.849,104.782,104.838,192
31,104.835,104.870,104.805,104.838,259
32,104.836,104.890,104.782,104.784,423
33,104.788,104.850,104.764,104.781,465
34,104.779,104.860,104.728,104.842,554
35,104.845,105.004,104.840,104.982,696
36,104.980,104.990,104.922,104.931,349
37,104.934,105.056,104.921,104.936,470
38,104.934,104.982,104.910,104.928,421
39,104.926,104.988,104.872,104.984,411
40,104.986,104.995,104.928,104.952,264
41,104.950,104.959,104.905,104.942,223
42,104.940,104.974,104.933,104.954,179
43,104.956,104.958,104.921,104.924,138
44,104.926,104.946,104.880,104.893,205
45,104.895,104.954,104.886,104.931,190
46,104.934,104.953,104.906,104.922,195
47,104.919,104.962,104.917,104.952,153
48,104.950,104.959,104.911,104.914,160
49,104.916,104.936,104.888,104.932,181
50,104.934,104.946,104.891,104.902,201
51,104.905,104.910,104.868,104.875,136
52,104.877,104.892,104.856,104.873,155
53,104.876,104.988,104.876,104.950,369
54,104.952,105.000,104.940,104.971,235
55,104.974,105.016,104.968,104.969,205
56,104.971,105.058,104.969,104.988,430
57,104.986,105.044,104.970,105.040,304
58,105.038,105.058,105.008,105.008,304
59,105.006,105.092,105.006,105.078,322
60,105.080,105.143,105.024,105.143,489
61,105.141,105.152,105.062,105.076,355
62,105.074,105.158,105.059,105.118,359
63,105.121,105.124,105.050,105.069,357
64,105.066,105.137,105.066,105.130,290
65,105.132,105.146,105.083,105.096,223
66,105.093,105.093,105.040,105.050,222
67,105.048,105.060,104.928,104.956,282
68,104.959,104.988,104.936,104.980,217
69,104.982,105.028,104.964,104.997,233
70,104.994,105.064,104.992,105.064,318
71,105.062,105.134,105.046,105.086,353
72,105.084,105.129,105.048,105.093,243
