,Open,High,Low,Close,Volume
0,1317.632,1318.211,1317.321,1317.950,11371
1,1318.074,1319.331,1317.349,1318.741,14295
2,1318.594,1319.558,1317.816,1318.336,19406
3,1318.209,1318.640,1317.024,1317.638,19598
4,1317.747,1321.476,1317.308,1321.190,23082
5,1321.198,1321.406,1319.654,1319.846,14748
6,1319.964,1320.494,1318.740,1319.484,17761
7,1319.606,1320.783,1319.384,1320.212,14209
8,1320.200,1320.372,1316.060,1317.579,25481
9,1317.678,1322.648,1317.589,1318.228,39233
10,1318.101,1319.564,1315.790,1318.801,51839
11,1318.686,1320.461,1318.264,1320.123,40516
12,1320.298,1321.222,1319.248,1319.261,31981
13,1319.356,1319.752,1316.305,1319.108,30880
14,1319.100,1319.702,1317.654,1318.505,24477
15,1318.358,1318.912,1317.404,1317.595,25914
16,1317.774,1318.632,1317.602,1318.532,6250
17,1319.319,1319.622,1317.152,1317.513,8504
18,1317.412,1318.118,1314.993,1315.526,22543
19,1315.402,1316.875,1314.656,1316.296,21515
20,1316.178,1316.587,1315.032,1315.406,16627
21,1315.376,1315.974,1315.036,1315.571,9486
22,1315.439,1316.166,1313.722,1314.638,12223
23,1314.746,1314.957,1313.652,1313.654,12101
24,1313.788,1314.414,1312.526,1314.244,21264
25,1314.270,1315.346,1313.274,1313.488,21835
26,1313.356,1313.496,1311.308,1311.718,25105
27,1311.823,1311.868,1310.352,1310.774,28957
28,1310.761,1312.144,1310.313,1311.268,26547
29,1311.255,1311.401,1310.053,1310.749,17942
30,1310.633,1310.748,1305.948,1306.625,33839
31,1306.500,1310.624,1304.768,1310.438,46467
32,1310.549,1311.634,1306.089,1307.554,49384
33,1307.538,1310.570,1302.796,1305.972,84297
34,1305.979,1313.012,1304.730,1310.960,60108
35,1310.852,1311.922,1308.784,1309.802,59828
36,1309.818,1310.198,1303.934,1306.833,64627
37,1306.826,1316.318,1306.701,1316.131,97162
38,1316.264,1321.274,1314.800,1315.086,91404
39,1315.203,1317.376,1315.078,1317.108,11220
40,1317.400,1317.541,1316.109,1317.064,9044
41,1317.188,1317.610,1316.469,1316.602,15344
42,1316.496,1318.482,1315.260,1317.808,24269
43,1317.794,1317.951,1315.802,1316.646,20114
44,1316.755,1317.371,1316.349,1316.932,8403
45,1316.820,1317.394,1315.943,1316.836,8948
46,1316.938,1319.271,1316.416,1318.557,19150
47,1318.437,1318.788,1317.161,1317.161,19329
48,1317.292,1318.474,1316.241,1317.432,23939
49,1317.287,1318.117,1316.214,1317.460,24885
50,1317.322,1317.878,1315.774,1316.436,19108
51,1316.555,1319.100,1316.264,1319.048,18449
52,1319.072,1324.132,1318.588,1322.064,39966
53,1322.064,1323.922,1321.092,1321.523,24827
54,1321.420,1325.325,1320.703,1325.026,34554
55,1325.026,1325.588,1321.544,1323.023,53263
56,1323.154,1323.821,1319.752,1320.224,53552
57,1320.343,1321.457,1317.566,1318.209,43582
58,1318.299,1320.945,1318.033,1320.519,28900
59,1320.502,1323.931,1320.050,1322.443,31383
60,1322.546,1323.258,1322.120,1322.906,19077
61,1322.792,1323.401,1320.282,1321.968,25017
62,1321.984,1322.891,1321.203,1322.538,5591
63,1323.860,1324.482,1320.108,1323.278,15969
64,1323.145,1325.082,1322.470,1324.161,22397
65,1324.053,1326.770,1323.898,1325.964,20029
66,1326.084,1326.602,1325.190,1325.650,14955
67,1325.759,1327.249,1325.172,1326.782,14537
68,1326.790,1327.141,1326.142,1326.650,10974
69,1326.522,1326.943,1325.638,1326.472,11819
70,1326.475,1326.743,1325.532,1325.718,16262
71,1325.719,1327.870,1324.700,1326.690,33133
72,1326.796,1327.819,1325.141,1326.194,30132
73,1326.073,1326.911,1325.404,1325.793,17315
