,Open,High,Low,Close,Volume
0,1329.810,1331.112,1329.036,1330.446,5283
1,1330.344,1330.974,1329.890,1330.142,3264
2,1330.141,1330.244,1329.064,1329.634,2993
3,1329.624,1330.531,1329.232,1329.914,2606
4,1330.021,1330.526,1328.816,1328.838,7453
5,1328.952,1331.636,1328.706,1330.941,9490
6,1330.910,1332.471,1330.832,1331.716,12448
7,1331.846,1332.139,1329.346,1329.780,8044
8,1329.896,1330.332,1327.879,1329.718,10498
9,1329.812,1332.743,1329.244,1329.651,8766
10,1329.538,1330.647,1328.264,1329.442,18330
11,1329.438,1330.460,1327.504,1330.221,15714
12,1330.084,1331.578,1330.078,1331.131,14081
13,1331.021,1332.044,1329.644,1332.036,9429
14,1331.916,1332.277,1330.375,1331.734,10637
15,1331.607,1332.194,1330.016,1330.756,10556
16,1330.627,1330.742,1329.014,1329.534,9624
17,1329.532,1329.672,1328.552,1329.070,9577
18,1328.950,1329.277,1326.889,1328.524,12494
19,1328.625,1329.168,1327.958,1328.704,10008
20,1328.816,1328.829,1326.446,1327.331,11296
21,1327.296,1328.277,1325.681,1327.204,28645
22,1327.203,1327.766,1326.520,1326.705,11737
23,1326.720,1327.336,1326.130,1326.929,8455
24,1326.915,1327.228,1324.796,1325.266,7758
25,1325.276,1327.941,1325.039,1327.941,8084
26,1327.811,1328.162,1326.856,1327.284,5354
27,1327.314,1327.842,1326.665,1326.963,4107
28,1326.971,1327.602,1326.272,1327.405,4893
29,1327.533,1328.315,1327.118,1328.228,5364
30,1328.040,1328.228,1327.068,1327.118,4164
31,1327.226,1327.612,1326.739,1327.168,4237
32,1327.270,1327.602,1326.904,1327.010,4093
33,1327.128,1328.314,1327.026,1327.793,6201
34,1327.802,1329.661,1327.224,1328.940,6565
35,1329.093,1330.376,1328.214,1328.252,8343
36,1328.422,1329.424,1328.098,1329.142,3510
37,1329.142,1329.556,1328.728,1329.214,1058
38,1329.032,1329.212,1328.446,1328.837,1690
39,1328.840,1329.422,1328.296,1328.986,2029
40,1329.344,1330.748,1329.016,1330.157,3362
41,1330.161,1330.736,1329.891,1330.198,3376
42,1330.319,1331.796,1330.119,1331.495,5170
43,1331.632,1331.924,1330.600,1331.114,4847
44,1331.118,1332.358,1330.636,1331.758,4849
45,1331.640,1333.376,1331.452,1332.550,3729
46,1332.680,1333.617,1332.420,1332.458,6290
47,1332.438,1333.058,1332.426,1332.784,3747
48,1332.682,1333.065,1331.760,1332.106,6483
49,1331.974,1334.070,1331.950,1333.940,5493
50,1334.058,1337.990,1333.858,1337.276,10424
51,1337.402,1339.260,1336.549,1338.870,8361
52,1338.878,1338.914,1336.556,1337.020,8147
53,1336.886,1337.536,1335.764,1336.477,4749
54,1336.456,1337.729,1336.389,1337.498,4597
55,1337.512,1337.999,1337.371,1337.791,2581
56,1337.662,1338.198,1336.647,1337.518,3361
57,1337.528,1338.011,1337.328,1337.746,3156
58,1337.742,1339.029,1337.620,1338.610,4172
59,1338.619,1338.950,1337.900,1338.570,3984
60,1338.436,1338.677,1337.655,1338.064,4379
